cue,key,target_spk,interferer_spk,target_text,sisnr_i,relative_band,failure_cause,content_mismatch_rate,joint_content_waveform_rate,waveform_interferer_rate,mean_content_gap,min_content_gap,speaker_mismatch_rate_1s,speaker_mismatch_rate_2s,speaker_gap_mean_1s,local_sisdr_gap_mean_1s,est_path,target_ref,interferer_ref,synthetic_interferer
tfmap,5683-32866-0017_1580-141083-0053__T2__SCV2TTS__1580-1580-141083-0053__VOICE__5683,1580,5683,YOU HAVEN'T SEEN ANY OF THEM NO SIR,-1.1983312158682364,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.07454048130418955,-0.14005498648110348,1.0,nan,-0.03330305343572884,14.105663963516708,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/5683-32866-0017_1580-141083-0053__T2__SCV2TTS__1580-1580-141083-0053__VOICE__5683.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/5683-32866-0017_1580-141083-0053__T2__SCV2TTS__1580-1580-141083-0053__VOICE__5683.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/5683-32866-0017_1580-141083-0053__T2__SCV2TTS__1580-1580-141083-0053__VOICE__5683.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/5683-32866-0017_1580-141083-0053__T2__SCV2TTS__1580-1580-141083-0053__VOICE__5683.wav
tfmap,61-70970-0030_1320-122617-0020__T1__SCV2TTS__61-61-70970-0030__VOICE__1320,61,1320,SAVE ME MASTERS BUT YOU STARTLED ME RARELY,-0.9008979509343039,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.02789660762192625,-0.02789660762192625,1.0,nan,-0.04839722715381296,1.0887242375847814,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/61-70970-0030_1320-122617-0020__T1__SCV2TTS__61-61-70970-0030__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/61-70970-0030_1320-122617-0020__T1__SCV2TTS__61-61-70970-0030__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/61-70970-0030_1320-122617-0020__T1__SCV2TTS__61-61-70970-0030__VOICE__1320.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/61-70970-0030_1320-122617-0020__T1__SCV2TTS__61-61-70970-0030__VOICE__1320.wav
tfmap,5683-32879-0014_8463-294828-0033__T2__SCV2TTS__8463-8463-294828-0033__VOICE__5683,8463,5683,I WAS WELL SATISFIED WITH MY CABIN WHICH WAS LOCATED IN THE STERN AND OPENED INTO THE OFFICERS MESS,-5.499495355697603,absolute_failure_lt0,mixed_content_and_speaker_drift,0.8,0.7,0.8,-0.06342688950818473,-0.18875252823025956,0.9,0.75,-0.15576093567082458,4.545597681261358,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/5683-32879-0014_8463-294828-0033__T2__SCV2TTS__8463-8463-294828-0033__VOICE__5683.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/5683-32879-0014_8463-294828-0033__T2__SCV2TTS__8463-8463-294828-0033__VOICE__5683.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/5683-32879-0014_8463-294828-0033__T2__SCV2TTS__8463-8463-294828-0033__VOICE__5683.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/5683-32879-0014_8463-294828-0033__T2__SCV2TTS__8463-8463-294828-0033__VOICE__5683.wav
tfmap,7021-79730-0004_2830-3980-0009__T2__SCV2TTS__2830-2830-3980-0009__VOICE__7021,2830,7021,PAUL AN APOSTLE NOT OF MEN ET CETERA,-7.329809603638354,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.021035703067072753,-0.04159897978542193,0.5,nan,0.004762390506564879,20.889441910984218,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/7021-79730-0004_2830-3980-0009__T2__SCV2TTS__2830-2830-3980-0009__VOICE__7021.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/7021-79730-0004_2830-3980-0009__T2__SCV2TTS__2830-2830-3980-0009__VOICE__7021.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/7021-79730-0004_2830-3980-0009__T2__SCV2TTS__2830-2830-3980-0009__VOICE__7021.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/7021-79730-0004_2830-3980-0009__T2__SCV2TTS__2830-2830-3980-0009__VOICE__7021.wav
tfmap,6829-68771-0025_4992-41806-0004__T2__SCV2TTS__4992-4992-41806-0004__VOICE__6829,4992,6829,BURN FIRE BURN FLICKER FLICKER FLAME,-4.357732416384383,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.06094368007281031,-0.08724031331887772,0.5,nan,0.05196687475221222,0.5116317612127363,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/6829-68771-0025_4992-41806-0004__T2__SCV2TTS__4992-4992-41806-0004__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/6829-68771-0025_4992-41806-0004__T2__SCV2TTS__4992-4992-41806-0004__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/6829-68771-0025_4992-41806-0004__T2__SCV2TTS__4992-4992-41806-0004__VOICE__6829.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/6829-68771-0025_4992-41806-0004__T2__SCV2TTS__4992-4992-41806-0004__VOICE__6829.wav
tfmap,4446-2273-0008_260-123440-0009__T2__SCV2TTS__260-260-123440-0009__VOICE__4446,260,4446,I SHALL NEVER GET TO TWENTY AT THAT RATE,-2.369145503496909,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.05308780030674598,-0.0956511478367329,0.5,nan,-0.032149283437472545,2.2996884793786685,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/4446-2273-0008_260-123440-0009__T2__SCV2TTS__260-260-123440-0009__VOICE__4446.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/4446-2273-0008_260-123440-0009__T2__SCV2TTS__260-260-123440-0009__VOICE__4446.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/4446-2273-0008_260-123440-0009__T2__SCV2TTS__260-260-123440-0009__VOICE__4446.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/4446-2273-0008_260-123440-0009__T2__SCV2TTS__260-260-123440-0009__VOICE__4446.wav
tfmap,7021-85628-0022_2300-131720-0014__T2__SCV2TTS__2300-2300-131720-0014__VOICE__7021,2300,7021,MISTER EDISON WAS A LEADER FAR AHEAD OF THE TIME,-1.1959214565991823,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.1635623406763106,-0.22603159690835373,0.5,1.0,0.03718202977360542,0.023537742757701596,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/7021-85628-0022_2300-131720-0014__T2__SCV2TTS__2300-2300-131720-0014__VOICE__7021.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/7021-85628-0022_2300-131720-0014__T2__SCV2TTS__2300-2300-131720-0014__VOICE__7021.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/7021-85628-0022_2300-131720-0014__T2__SCV2TTS__2300-2300-131720-0014__VOICE__7021.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/7021-85628-0022_2300-131720-0014__T2__SCV2TTS__2300-2300-131720-0014__VOICE__7021.wav
tfmap,260-123288-0012_4446-2273-0025__T1__SCV2TTS__260-260-123288-0012__VOICE__4446,260,4446,THAT WILL BE SAFEST NO NO NEVER,-0.18272922859049218,absolute_failure_lt0,mixed_content_and_speaker_drift,0.5,0.5,1.0,-0.04265574770960129,-0.1264969283187728,1.0,nan,-0.07334346177518476,-0.3806453549345304,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/260-123288-0012_4446-2273-0025__T1__SCV2TTS__260-260-123288-0012__VOICE__4446.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/260-123288-0012_4446-2273-0025__T1__SCV2TTS__260-260-123288-0012__VOICE__4446.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/260-123288-0012_4446-2273-0025__T1__SCV2TTS__260-260-123288-0012__VOICE__4446.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/260-123288-0012_4446-2273-0025__T1__SCV2TTS__260-260-123288-0012__VOICE__4446.wav
tfmap,7021-79740-0012_8455-210777-0020__T2__SCV2TTS__8455-8455-210777-0020__VOICE__7021,8455,7021,OH YES SAID JACK AND I'M NOWHERE,0.2517851924465877,weak_0_5,mixed_content_and_speaker_drift,0.5,0.5,0.5,-0.07689042760077142,-0.17896383642850533,1.0,nan,-0.010622077069503882,-3.1308333004638644,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/7021-79740-0012_8455-210777-0020__T2__SCV2TTS__8455-8455-210777-0020__VOICE__7021.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/7021-79740-0012_8455-210777-0020__T2__SCV2TTS__8455-8455-210777-0020__VOICE__7021.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/7021-79740-0012_8455-210777-0020__T2__SCV2TTS__8455-8455-210777-0020__VOICE__7021.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/7021-79740-0012_8455-210777-0020__T2__SCV2TTS__8455-8455-210777-0020__VOICE__7021.wav
tfmap,7021-79740-0012_8455-210777-0020__T1__SCV2TTS__7021-7021-79740-0012__VOICE__8455,7021,8455,SAID SHE POINTING TO THE PLAYTHINGS SEE,2.0103359640222394,weak_0_5,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.18091338612645713,-0.29917201323185505,0.5,nan,0.16443281578616156,7.37698603452956,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/7021-79740-0012_8455-210777-0020__T1__SCV2TTS__7021-7021-79740-0012__VOICE__8455.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/7021-79740-0012_8455-210777-0020__T1__SCV2TTS__7021-7021-79740-0012__VOICE__8455.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/7021-79740-0012_8455-210777-0020__T1__SCV2TTS__7021-7021-79740-0012__VOICE__8455.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/7021-79740-0012_8455-210777-0020__T1__SCV2TTS__7021-7021-79740-0012__VOICE__8455.wav
