cue,key,target_spk,interferer_spk,target_text,sisnr_i,relative_band,failure_cause,content_mismatch_rate,joint_content_waveform_rate,waveform_interferer_rate,mean_content_gap,min_content_gap,speaker_mismatch_rate_1s,speaker_mismatch_rate_2s,speaker_gap_mean_1s,local_sisdr_gap_mean_1s,est_path,target_ref,interferer_ref,synthetic_interferer
context,5683-32866-0017_1580-141083-0053__T2__SCV2TTS__1580-1580-141083-0053__VOICE__5683,1580,5683,YOU HAVEN'T SEEN ANY OF THEM NO SIR,-1.128145253028982,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.09279300377246108,-0.1400700674814458,1.0,nan,-0.20597457298980093,7.628213831960355,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/5683-32866-0017_1580-141083-0053__T2__SCV2TTS__1580-1580-141083-0053__VOICE__5683.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/5683-32866-0017_1580-141083-0053__T2__SCV2TTS__1580-1580-141083-0053__VOICE__5683.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/5683-32866-0017_1580-141083-0053__T2__SCV2TTS__1580-1580-141083-0053__VOICE__5683.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/5683-32866-0017_1580-141083-0053__T2__SCV2TTS__1580-1580-141083-0053__VOICE__5683.wav
context,5683-32879-0022_6829-68769-0016__T1__SCV2TTS__5683-5683-32879-0022__VOICE__6829,5683,6829,I LIKE YOU STILL RACHEL I'M SURE I'LL ALWAYS LIKE YOU,-1.8584397634690242,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.13310431571317133,-0.2519044529964796,0.75,1.0,-0.07873810513655921,-13.463206023664297,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/5683-32879-0022_6829-68769-0016__T1__SCV2TTS__5683-5683-32879-0022__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/5683-32879-0022_6829-68769-0016__T1__SCV2TTS__5683-5683-32879-0022__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/5683-32879-0022_6829-68769-0016__T1__SCV2TTS__5683-5683-32879-0022__VOICE__6829.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/5683-32879-0022_6829-68769-0016__T1__SCV2TTS__5683-5683-32879-0022__VOICE__6829.wav
context,1580-141084-0001_237-134500-0022__T1__SCV2TTS__1580-1580-141084-0001__VOICE__237,1580,237,HE WAS PACING SWIFTLY UP AND DOWN HIS ROOM,-1.4956062479681465,absolute_failure_lt0,mixed_content_and_speaker_drift,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.09183786351022256,-0.22959319417804525,1.0,1.0,-0.10905307855155406,11.038256535389516,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1580-141084-0001_237-134500-0022__T1__SCV2TTS__1580-1580-141084-0001__VOICE__237.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1580-141084-0001_237-134500-0022__T1__SCV2TTS__1580-1580-141084-0001__VOICE__237.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1580-141084-0001_237-134500-0022__T1__SCV2TTS__1580-1580-141084-0001__VOICE__237.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1580-141084-0001_237-134500-0022__T1__SCV2TTS__1580-1580-141084-0001__VOICE__237.wav
context,672-122797-0040_1089-134686-0036__T2__SCV2TTS__1089-1089-134686-0036__VOICE__672,1089,672,A GREAT SAINT SAINT FRANCIS XAVIER,-0.06287049114251608,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,0.6666666666666666,0.6666666666666666,-0.13141697340249106,-0.22959797722669562,1.0,1.0,-0.16651233487166986,-1.3380087673258803,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/672-122797-0040_1089-134686-0036__T2__SCV2TTS__1089-1089-134686-0036__VOICE__672.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0040_1089-134686-0036__T2__SCV2TTS__1089-1089-134686-0036__VOICE__672.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/672-122797-0040_1089-134686-0036__T2__SCV2TTS__1089-1089-134686-0036__VOICE__672.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0040_1089-134686-0036__T2__SCV2TTS__1089-1089-134686-0036__VOICE__672.wav
context,8455-210777-0017_260-123286-0013__T2__SCV2TTS__260-260-123286-0013__VOICE__8455,260,8455,THE SHADOW OF THE RAFT WAS CLEARLY OUTLINED UPON THE SURFACE OF THE WAVES,-2.7283549985800373,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.13120244933558484,-0.21229213051596774,0.6,0.0,0.004030488350843931,5.712325618881384,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/8455-210777-0017_260-123286-0013__T2__SCV2TTS__260-260-123286-0013__VOICE__8455.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/8455-210777-0017_260-123286-0013__T2__SCV2TTS__260-260-123286-0013__VOICE__8455.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/8455-210777-0017_260-123286-0013__T2__SCV2TTS__260-260-123286-0013__VOICE__8455.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/8455-210777-0017_260-123286-0013__T2__SCV2TTS__260-260-123286-0013__VOICE__8455.wav
context,121-127105-0019_4446-2275-0029__T2__SCV2TTS__4446-4446-2275-0029__VOICE__121,4446,121,PLEASE TELL ME ONE THING BARTLEY AT LEAST TELL ME THAT YOU BELIEVE I THOUGHT I WAS MAKING YOU HAPPY,-4.912905620095643,absolute_failure_lt0,mixed_content_and_speaker_drift,0.8181818181818182,0.7272727272727273,0.7272727272727273,-0.14530900259710477,-0.41580977204307285,0.8181818181818182,0.8,-0.1094219355191227,-5.449132788121697,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/121-127105-0019_4446-2275-0029__T2__SCV2TTS__4446-4446-2275-0029__VOICE__121.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/121-127105-0019_4446-2275-0029__T2__SCV2TTS__4446-4446-2275-0029__VOICE__121.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/121-127105-0019_4446-2275-0029__T2__SCV2TTS__4446-4446-2275-0029__VOICE__121.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/121-127105-0019_4446-2275-0029__T2__SCV2TTS__4446-4446-2275-0029__VOICE__121.wav
context,672-122797-0029_6829-68769-0026__T1__SCV2TTS__672-672-122797-0029__VOICE__6829,672,6829,HOW IT WILL SHINE THIS EVENING,-10.509268945248676,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.09654216494389672,-0.10105327007909215,0.5,nan,0.05762627815332348,-1.7130386210254762,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/672-122797-0029_6829-68769-0026__T1__SCV2TTS__672-672-122797-0029__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0029_6829-68769-0026__T1__SCV2TTS__672-672-122797-0029__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/672-122797-0029_6829-68769-0026__T1__SCV2TTS__672-672-122797-0029__VOICE__6829.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0029_6829-68769-0026__T1__SCV2TTS__672-672-122797-0029__VOICE__6829.wav
context,2094-142345-0012_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__2094,4446,2094,SHE CLOSED HER EYES AND TOOK A DEEP BREATH AS IF TO DRAW IN AGAIN THE FRAGRANCE OF THOSE DAYS,-6.6592762992425385,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.172198157175702,-0.29635621290895764,0.5,0.5,0.10242796333396775,10.293092548391387,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/2094-142345-0012_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__2094.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/2094-142345-0012_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__2094.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/2094-142345-0012_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__2094.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/2094-142345-0012_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__2094.wav
context,260-123440-0009_4970-29095-0017__T1__SCV2TTS__260-260-123440-0009__VOICE__4970,260,4970,I SHALL NEVER GET TO TWENTY AT THAT RATE,-5.7784288399142705,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.06360922608044961,-0.06679209896116212,0.5,nan,0.16265039565703776,3.9241579726517517,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/260-123440-0009_4970-29095-0017__T1__SCV2TTS__260-260-123440-0009__VOICE__4970.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/260-123440-0009_4970-29095-0017__T1__SCV2TTS__260-260-123440-0009__VOICE__4970.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/260-123440-0009_4970-29095-0017__T1__SCV2TTS__260-260-123440-0009__VOICE__4970.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/260-123440-0009_4970-29095-0017__T1__SCV2TTS__260-260-123440-0009__VOICE__4970.wav
context,6829-68771-0025_4992-41806-0004__T2__SCV2TTS__4992-4992-41806-0004__VOICE__6829,4992,6829,BURN FIRE BURN FLICKER FLICKER FLAME,-0.009301977020138547,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.04371096286807835,-0.08210680085390332,0.5,nan,0.02161800704212763,9.42842485496371,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/6829-68771-0025_4992-41806-0004__T2__SCV2TTS__4992-4992-41806-0004__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/6829-68771-0025_4992-41806-0004__T2__SCV2TTS__4992-4992-41806-0004__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/6829-68771-0025_4992-41806-0004__T2__SCV2TTS__4992-4992-41806-0004__VOICE__6829.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/6829-68771-0025_4992-41806-0004__T2__SCV2TTS__4992-4992-41806-0004__VOICE__6829.wav
