condition,cue,verifier_setting,threshold_type,threshold,n_items,n_total,rate,source_path,notes
similar-speaker,USEF,speaker raw ECAPA,ecapa_speaker_gap_lt,0.0,9371,105258,0.0890288624142583,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,chunk-level raw target-minus-interferer speaker similarity gap; negative means ECAPA prefers interferer
similar-speaker,USEF,speaker raw ECAPA,ecapa_speaker_gap_lt,-0.02,7689,105258,0.07304907940489085,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,chunk-level raw target-minus-interferer speaker similarity gap; negative means ECAPA prefers interferer
similar-speaker,USEF,speaker raw ECAPA,ecapa_speaker_gap_lt,-0.05,5781,105258,0.05492219118736818,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,chunk-level raw target-minus-interferer speaker similarity gap; negative means ECAPA prefers interferer
similar-speaker,USEF,speaker raw ECAPA,ecapa_speaker_gap_lt,-0.1,3677,105258,0.03493321172737464,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,chunk-level raw target-minus-interferer speaker similarity gap; negative means ECAPA prefers interferer
similar-speaker,USEF,speaker raw 3-verifier,any_verifier_gap_lt,0.0,20232,105258,0.19221341845750442,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,USEF,speaker raw 3-verifier,two_of_three_gap_lt,0.0,8667,105258,0.08234053468619962,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,USEF,speaker raw 3-verifier,all_three_gap_lt,0.0,4099,105258,0.03894240817800072,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,USEF,speaker raw 3-verifier,any_verifier_gap_lt,-0.02,11566,105258,0.1098823842368276,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,USEF,speaker raw 3-verifier,two_of_three_gap_lt,-0.02,5357,105258,0.05089399380569648,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,USEF,speaker raw 3-verifier,all_three_gap_lt,-0.02,869,105258,0.008255904539322427,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,USEF,speaker raw 3-verifier,any_verifier_gap_lt,-0.05,8238,105258,0.07826483497691387,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,USEF,speaker raw 3-verifier,two_of_three_gap_lt,-0.05,3906,105258,0.037108818332098274,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,USEF,speaker raw 3-verifier,all_three_gap_lt,-0.05,88,105258,0.0008360409660073344,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,USEF,speaker raw 3-verifier,any_verifier_gap_lt,-0.1,5096,105258,0.048414372304242906,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,USEF,speaker raw 3-verifier,two_of_three_gap_lt,-0.1,2449,105258,0.023266640065363203,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,USEF,speaker raw 3-verifier,all_three_gap_lt,-0.1,2,105258,1.9000931045621236e-05,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,USEF,waveform raw,local_si_sdr_gap_lt_db,0.0,4255,105258,0.04042448079955918,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,"chunk-level SI-SDR(output,target)-SI-SDR(output,interferer); negative means waveform closer to interferer"
similar-speaker,USEF,waveform raw,local_si_sdr_gap_lt_db,-1.0,4030,105258,0.03828687605692679,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,"chunk-level SI-SDR(output,target)-SI-SDR(output,interferer); negative means waveform closer to interferer"
similar-speaker,USEF,waveform raw,local_si_sdr_gap_lt_db,-3.0,3597,105258,0.03417317448554979,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,"chunk-level SI-SDR(output,target)-SI-SDR(output,interferer); negative means waveform closer to interferer"
similar-speaker,USEF,waveform raw,local_si_sdr_gap_lt_db,-5.0,3236,105258,0.03074350643181516,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/usef_ft13/per_chunk_metrics.jsonl,"chunk-level SI-SDR(output,target)-SI-SDR(output,interferer); negative means waveform closer to interferer"
similar-speaker,TFMAP,speaker raw ECAPA,ecapa_speaker_gap_lt,0.0,18551,105258,0.17624313591365978,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,chunk-level raw target-minus-interferer speaker similarity gap; negative means ECAPA prefers interferer
similar-speaker,TFMAP,speaker raw ECAPA,ecapa_speaker_gap_lt,-0.02,16397,105258,0.1557791331775257,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,chunk-level raw target-minus-interferer speaker similarity gap; negative means ECAPA prefers interferer
similar-speaker,TFMAP,speaker raw ECAPA,ecapa_speaker_gap_lt,-0.05,13572,105258,0.1289403180755857,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,chunk-level raw target-minus-interferer speaker similarity gap; negative means ECAPA prefers interferer
similar-speaker,TFMAP,speaker raw ECAPA,ecapa_speaker_gap_lt,-0.1,9930,105258,0.09433962264150944,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,chunk-level raw target-minus-interferer speaker similarity gap; negative means ECAPA prefers interferer
similar-speaker,TFMAP,speaker raw 3-verifier,any_verifier_gap_lt,0.0,32065,105258,0.30463242698892246,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,TFMAP,speaker raw 3-verifier,two_of_three_gap_lt,0.0,18676,105258,0.1774306941040111,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,TFMAP,speaker raw 3-verifier,all_three_gap_lt,0.0,10988,105258,0.10439111516464307,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,TFMAP,speaker raw 3-verifier,any_verifier_gap_lt,-0.02,22132,105258,0.21026430295084458,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,TFMAP,speaker raw 3-verifier,two_of_three_gap_lt,-0.02,13091,105258,0.12437059415911379,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,TFMAP,speaker raw 3-verifier,all_three_gap_lt,-0.02,2931,105258,0.02784586444735792,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,TFMAP,speaker raw 3-verifier,any_verifier_gap_lt,-0.05,17945,105258,0.17048585380683653,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,TFMAP,speaker raw 3-verifier,two_of_three_gap_lt,-0.05,10412,105258,0.09891884702350415,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,TFMAP,speaker raw 3-verifier,all_three_gap_lt,-0.05,89,105258,0.000845541431530145,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,TFMAP,speaker raw 3-verifier,any_verifier_gap_lt,-0.1,13018,105258,0.12367706017594862,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,TFMAP,speaker raw 3-verifier,two_of_three_gap_lt,-0.1,7395,105258,0.07025594254118452,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,TFMAP,speaker raw 3-verifier,all_three_gap_lt,-0.1,0,105258,0.0,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,TFMAP,waveform raw,local_si_sdr_gap_lt_db,0.0,12187,105258,0.115782173326493,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,"chunk-level SI-SDR(output,target)-SI-SDR(output,interferer); negative means waveform closer to interferer"
similar-speaker,TFMAP,waveform raw,local_si_sdr_gap_lt_db,-1.0,11388,105258,0.10819130137376731,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,"chunk-level SI-SDR(output,target)-SI-SDR(output,interferer); negative means waveform closer to interferer"
similar-speaker,TFMAP,waveform raw,local_si_sdr_gap_lt_db,-3.0,9929,105258,0.09433012217598662,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,"chunk-level SI-SDR(output,target)-SI-SDR(output,interferer); negative means waveform closer to interferer"
similar-speaker,TFMAP,waveform raw,local_si_sdr_gap_lt_db,-5.0,8658,105258,0.08225503049649432,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/tfmap_ft13/per_chunk_metrics.jsonl,"chunk-level SI-SDR(output,target)-SI-SDR(output,interferer); negative means waveform closer to interferer"
similar-speaker,Context,speaker raw ECAPA,ecapa_speaker_gap_lt,0.0,21167,105258,0.20109635372133233,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,chunk-level raw target-minus-interferer speaker similarity gap; negative means ECAPA prefers interferer
similar-speaker,Context,speaker raw ECAPA,ecapa_speaker_gap_lt,-0.02,19261,105258,0.1829884664348553,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,chunk-level raw target-minus-interferer speaker similarity gap; negative means ECAPA prefers interferer
similar-speaker,Context,speaker raw ECAPA,ecapa_speaker_gap_lt,-0.05,16623,105258,0.1579262383856809,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,chunk-level raw target-minus-interferer speaker similarity gap; negative means ECAPA prefers interferer
similar-speaker,Context,speaker raw ECAPA,ecapa_speaker_gap_lt,-0.1,12992,105258,0.12343004807235554,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,chunk-level raw target-minus-interferer speaker similarity gap; negative means ECAPA prefers interferer
similar-speaker,Context,speaker raw 3-verifier,any_verifier_gap_lt,0.0,32843,105258,0.31202378916566914,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,Context,speaker raw 3-verifier,two_of_three_gap_lt,0.0,21134,105258,0.2007828383590796,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,Context,speaker raw 3-verifier,all_three_gap_lt,0.0,14058,105258,0.13355754431967165,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
