key,target_text,tfmap_sisnr_i,context_sisnr_i,usef_sisnr_i,tfmap_content_rate,context_content_rate,usef_content_rate,tfmap_joint_rate,context_joint_rate,usef_joint_rate,tfmap_speaker_rate,context_speaker_rate,usef_speaker_rate,usef_recovery_margin,tfmap_est,context_est,usef_est,target_ref,synthetic_interferer
1089-134686-0000_121-127105-0031__T1__SCV2TTS__1089-1089-134686-0000__VOICE__121,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,6.202330390808966,7.557264485135432,8.957541522786986,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0000_121-127105-0031__T1__SCV2TTS__1089-1089-134686-0000__VOICE__121.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1089-134686-0000_121-127105-0031__T1__SCV2TTS__1089-1089-134686-0000__VOICE__121.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1089-134686-0000_121-127105-0031__T1__SCV2TTS__1089-1089-134686-0000__VOICE__121.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0000_121-127105-0031__T1__SCV2TTS__1089-1089-134686-0000__VOICE__121.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0000_121-127105-0031__T1__SCV2TTS__1089-1089-134686-0000__VOICE__121.wav
1089-134686-0000_121-127105-0031__T2__SCV2TTS__121-121-127105-0031__VOICE__1089,SHE WAS YOUNG UNTRIED NERVOUS IT WAS A VISION OF SERIOUS DUTIES AND LITTLE COMPANY OF REALLY GREAT LONELINESS,7.327777033572293,8.470174515741617,9.66105111331343,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0000_121-127105-0031__T2__SCV2TTS__121-121-127105-0031__VOICE__1089.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1089-134686-0000_121-127105-0031__T2__SCV2TTS__121-121-127105-0031__VOICE__1089.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1089-134686-0000_121-127105-0031__T2__SCV2TTS__121-121-127105-0031__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0000_121-127105-0031__T2__SCV2TTS__121-121-127105-0031__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0000_121-127105-0031__T2__SCV2TTS__121-121-127105-0031__VOICE__1089.wav
1089-134686-0000_260-123440-0016__T1__SCV2TTS__1089-1089-134686-0000__VOICE__260,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,3.75780798517185,4.928263880445248,9.136891862984994,0.3684210526315789,0.42105263157894735,0.05263157894736842,0.05263157894736842,0.0,0.0,0.21052631578947367,0.21052631578947367,0.3684210526315789,0.3684210526315789,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0000_260-123440-0016__T1__SCV2TTS__1089-1089-134686-0000__VOICE__260.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1089-134686-0000_260-123440-0016__T1__SCV2TTS__1089-1089-134686-0000__VOICE__260.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1089-134686-0000_260-123440-0016__T1__SCV2TTS__1089-1089-134686-0000__VOICE__260.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0000_260-123440-0016__T1__SCV2TTS__1089-1089-134686-0000__VOICE__260.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0000_260-123440-0016__T1__SCV2TTS__1089-1089-134686-0000__VOICE__260.wav
1089-134686-0000_260-123440-0016__T2__SCV2TTS__260-260-123440-0016__VOICE__1089,I SHALL BE PUNISHED FOR IT NOW I SUPPOSE BY BEING DROWNED IN MY OWN TEARS,-1.927695565758997,-6.642580888615544,4.210088981113559,1.0,1.0,0.5714285714285714,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.4285714285714286,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0000_260-123440-0016__T2__SCV2TTS__260-260-123440-0016__VOICE__1089.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1089-134686-0000_260-123440-0016__T2__SCV2TTS__260-260-123440-0016__VOICE__1089.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1089-134686-0000_260-123440-0016__T2__SCV2TTS__260-260-123440-0016__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0000_260-123440-0016__T2__SCV2TTS__260-260-123440-0016__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0000_260-123440-0016__T2__SCV2TTS__260-260-123440-0016__VOICE__1089.wav
1089-134686-0000_61-70968-0047__T1__SCV2TTS__1089-1089-134686-0000__VOICE__61,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,-0.3059285528091128,-0.17724740407961287,4.386805836936529,1.0,1.0,0.42857142857142855,0.5,0.5,0.0,0.14285714285714285,0.21428571428571427,0.8571428571428571,0.5714285714285714,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0000_61-70968-0047__T1__SCV2TTS__1089-1089-134686-0000__VOICE__61.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1089-134686-0000_61-70968-0047__T1__SCV2TTS__1089-1089-134686-0000__VOICE__61.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1089-134686-0000_61-70968-0047__T1__SCV2TTS__1089-1089-134686-0000__VOICE__61.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0000_61-70968-0047__T1__SCV2TTS__1089-1089-134686-0000__VOICE__61.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0000_61-70968-0047__T1__SCV2TTS__1089-1089-134686-0000__VOICE__61.wav
1089-134686-0000_61-70968-0047__T2__SCV2TTS__61-61-70968-0047__VOICE__1089,MASTER MONCEUX THE SHERIFF OF NOTTINGHAM WAS MIGHTILY PUT ABOUT WHEN TOLD OF THE RIOTING,2.532199088822543,1.0691077771043485,5.7902759513299475,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.0,0.125,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0000_61-70968-0047__T2__SCV2TTS__61-61-70968-0047__VOICE__1089.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1089-134686-0000_61-70968-0047__T2__SCV2TTS__61-61-70968-0047__VOICE__1089.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1089-134686-0000_61-70968-0047__T2__SCV2TTS__61-61-70968-0047__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0000_61-70968-0047__T2__SCV2TTS__61-61-70968-0047__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0000_61-70968-0047__T2__SCV2TTS__61-61-70968-0047__VOICE__1089.wav
1089-134686-0002_7729-102255-0037__T1__SCV2TTS__1089-1089-134686-0002__VOICE__7729,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,2.108438436591675,2.6819286039974695,4.801561329525423,0.1,0.2,0.0,0.0,0.0,0.0,0.7,0.6,0.8,0.2,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0002_7729-102255-0037__T1__SCV2TTS__1089-1089-134686-0002__VOICE__7729.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1089-134686-0002_7729-102255-0037__T1__SCV2TTS__1089-1089-134686-0002__VOICE__7729.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1089-134686-0002_7729-102255-0037__T1__SCV2TTS__1089-1089-134686-0002__VOICE__7729.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0002_7729-102255-0037__T1__SCV2TTS__1089-1089-134686-0002__VOICE__7729.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0002_7729-102255-0037__T1__SCV2TTS__1089-1089-134686-0002__VOICE__7729.wav
1089-134686-0002_7729-102255-0037__T2__SCV2TTS__7729-7729-102255-0037__VOICE__1089,HALF AN HOUR LATER TURNING A DEAF EAR TO ALL REMONSTRANCE HE GAVE THE PROPRIETORS UNTIL FIVE O'CLOCK TO REMOVE THEIR FAMILIES AND PERSONAL PROPERTY FROM THE FREE STATE HOTEL,-0.4994535130580676,-0.41289942755050957,6.837620622460051,0.9473684210526315,0.8947368421052632,0.10526315789473684,0.42105263157894735,0.5263157894736842,0.0,0.0,0.05263157894736842,0.42105263157894735,0.8421052631578947,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0002_7729-102255-0037__T2__SCV2TTS__7729-7729-102255-0037__VOICE__1089.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1089-134686-0002_7729-102255-0037__T2__SCV2TTS__7729-7729-102255-0037__VOICE__1089.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1089-134686-0002_7729-102255-0037__T2__SCV2TTS__7729-7729-102255-0037__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0002_7729-102255-0037__T2__SCV2TTS__7729-7729-102255-0037__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0002_7729-102255-0037__T2__SCV2TTS__7729-7729-102255-0037__VOICE__1089.wav
1089-134686-0004_1284-1180-0027__T1__SCV2TTS__1089-1089-134686-0004__VOICE__1284,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,6.39372182172779,2.2318542942306085,9.069789766261781,0.2,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0004_1284-1180-0027__T1__SCV2TTS__1089-1089-134686-0004__VOICE__1284.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1089-134686-0004_1284-1180-0027__T1__SCV2TTS__1089-1089-134686-0004__VOICE__1284.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1089-134686-0004_1284-1180-0027__T1__SCV2TTS__1089-1089-134686-0004__VOICE__1284.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0004_1284-1180-0027__T1__SCV2TTS__1089-1089-134686-0004__VOICE__1284.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0004_1284-1180-0027__T1__SCV2TTS__1089-1089-134686-0004__VOICE__1284.wav
1089-134686-0004_1284-1180-0027__T2__SCV2TTS__1284-1284-1180-0027__VOICE__1089,YET THAT TASK WAS NOT SO EASY AS YOU MAY SUPPOSE,6.8503449250494635,-6.26278800123654,10.205804490645251,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0004_1284-1180-0027__T2__SCV2TTS__1284-1284-1180-0027__VOICE__1089.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1089-134686-0004_1284-1180-0027__T2__SCV2TTS__1284-1284-1180-0027__VOICE__1089.wav,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1089-134686-0004_1284-1180-0027__T2__SCV2TTS__1284-1284-1180-0027__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0004_1284-1180-0027__T2__SCV2TTS__1284-1284-1180-0027__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0004_1284-1180-0027__T2__SCV2TTS__1284-1284-1180-0027__VOICE__1089.wav
