cue,key,target_spk,interferer_spk,target_text,sisnr_i,relative_band,failure_cause,content_mismatch_rate,joint_content_waveform_rate,waveform_interferer_rate,mean_content_gap,min_content_gap,speaker_mismatch_rate_1s,speaker_mismatch_rate_2s,speaker_gap_mean_1s,local_sisdr_gap_mean_1s,est_path,target_ref,interferer_ref,synthetic_interferer
tfmap,1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320,672,1320,I AM BY NO MEANS OLD SAID THE FIR TREE,-17.58183070271245,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.24815123776997705,-0.24815123776997705,0.0,nan,0.3043720307421502,34.553958762988486,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav
tfmap,6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829,4446,6829,WHEN SHE FINISHED ALEXANDER SHOOK HIMSELF OUT OF A REVERIE,-16.28283549543915,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.21357917310974664,-0.260385821641376,0.0,0.0,0.2803264581111842,25.620294364450295,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829.wav
tfmap,672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455,672,8455,IT IS A VERY STUPID STORY,-15.946709162941344,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.10289752277572872,-0.10289752277572872,0.0,nan,0.09956984022795592,21.168073943063302,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav
tfmap,7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176,672,7176,WHO IS HUMPY DUMPY ASKED THE MICE,-13.840309923473368,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.24871796044006775,-0.3516350914246346,0.0,0.0,0.31477945785984646,36.471977594392705,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176.wav
tfmap,8230-279154-0027_672-122797-0057__T2__SCV2TTS__672-672-122797-0057__VOICE__8230,672,8230,YES IN REALITY THOSE WERE HAPPY TIMES,-13.69356431090492,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.1882913805971922,-0.2438754986625291,0.0,0.0,0.29692695133958275,32.94594145474987,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/8230-279154-0027_672-122797-0057__T2__SCV2TTS__672-672-122797-0057__VOICE__8230.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/8230-279154-0027_672-122797-0057__T2__SCV2TTS__672-672-122797-0057__VOICE__8230.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/8230-279154-0027_672-122797-0057__T2__SCV2TTS__672-672-122797-0057__VOICE__8230.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/8230-279154-0027_672-122797-0057__T2__SCV2TTS__672-672-122797-0057__VOICE__8230.wav
tfmap,2094-142345-0023_4507-16021-0002__T2__SCV2TTS__4507-4507-16021-0002__VOICE__2094,4507,2094,THUS IDLENESS IS THE MOTHER,-13.45832785224237,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.28096788559692043,-0.28096788559692043,0.0,nan,0.13368562382171684,14.036834861986964,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/2094-142345-0023_4507-16021-0002__T2__SCV2TTS__4507-4507-16021-0002__VOICE__2094.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/2094-142345-0023_4507-16021-0002__T2__SCV2TTS__4507-4507-16021-0002__VOICE__2094.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/2094-142345-0023_4507-16021-0002__T2__SCV2TTS__4507-4507-16021-0002__VOICE__2094.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/2094-142345-0023_4507-16021-0002__T2__SCV2TTS__4507-4507-16021-0002__VOICE__2094.wav
tfmap,1995-1836-0012_4446-2275-0034__T2__SCV2TTS__4446-4446-2275-0034__VOICE__1995,4446,1995,KEEP AWAY IF YOU WISH WHEN HAVE I EVER FOLLOWED YOU,-13.023572418364513,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.1753991995632422,-0.32442919287010813,0.0,0.0,0.22874244170023375,28.855602335835734,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1995-1836-0012_4446-2275-0034__T2__SCV2TTS__4446-4446-2275-0034__VOICE__1995.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1995-1836-0012_4446-2275-0034__T2__SCV2TTS__4446-4446-2275-0034__VOICE__1995.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1995-1836-0012_4446-2275-0034__T2__SCV2TTS__4446-4446-2275-0034__VOICE__1995.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1995-1836-0012_4446-2275-0034__T2__SCV2TTS__4446-4446-2275-0034__VOICE__1995.wav
tfmap,4446-2275-0042_3570-5696-0004__T1__SCV2TTS__4446-4446-2275-0042__VOICE__3570,4446,3570,AND THEN YOU CAME BACK NOT CARING VERY MUCH BUT IT MADE NO DIFFERENCE,-12.99357622229867,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.1558342515727992,-0.2681321607924664,0.16666666666666666,0.0,0.14115402560306886,21.66021476152336,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/4446-2275-0042_3570-5696-0004__T1__SCV2TTS__4446-4446-2275-0042__VOICE__3570.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/4446-2275-0042_3570-5696-0004__T1__SCV2TTS__4446-4446-2275-0042__VOICE__3570.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/4446-2275-0042_3570-5696-0004__T1__SCV2TTS__4446-4446-2275-0042__VOICE__3570.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/4446-2275-0042_3570-5696-0004__T1__SCV2TTS__4446-4446-2275-0042__VOICE__3570.wav
tfmap,672-122797-0039_7127-75946-0015__T1__SCV2TTS__672-672-122797-0039__VOICE__7127,672,7127,I WON'T TREMBLE TO MORROW THOUGHT THE FIR TREE,-12.76532137278122,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.11579108696806706,-0.11579108696806706,0.0,nan,0.29736580850008676,21.879329903250408,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/672-122797-0039_7127-75946-0015__T1__SCV2TTS__672-672-122797-0039__VOICE__7127.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0039_7127-75946-0015__T1__SCV2TTS__672-672-122797-0039__VOICE__7127.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/672-122797-0039_7127-75946-0015__T1__SCV2TTS__672-672-122797-0039__VOICE__7127.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0039_7127-75946-0015__T1__SCV2TTS__672-672-122797-0039__VOICE__7127.wav
tfmap,4446-2275-0006_1284-134647-0002__T1__SCV2TTS__4446-4446-2275-0006__VOICE__1284,4446,1284,I THOUGHT IT MIGHT BE SISTER KATE OR COUSIN MIKE WOULD BE HAPPENING ALONG,-12.739684080084157,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.14116604064925736,-0.21259361080321204,0.0,0.0,0.3227320855798043,20.958571062967906,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/4446-2275-0006_1284-134647-0002__T1__SCV2TTS__4446-4446-2275-0006__VOICE__1284.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/4446-2275-0006_1284-134647-0002__T1__SCV2TTS__4446-4446-2275-0006__VOICE__1284.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/4446-2275-0006_1284-134647-0002__T1__SCV2TTS__4446-4446-2275-0006__VOICE__1284.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/4446-2275-0006_1284-134647-0002__T1__SCV2TTS__4446-4446-2275-0006__VOICE__1284.wav
