cue,key,target_spk,interferer_spk,target_text,sisnr_i,relative_band,failure_cause,content_mismatch_rate,joint_content_waveform_rate,waveform_interferer_rate,mean_content_gap,min_content_gap,speaker_mismatch_rate_1s,speaker_mismatch_rate_2s,speaker_gap_mean_1s,local_sisdr_gap_mean_1s,est_path,target_ref,interferer_ref,synthetic_interferer
context,1995-1836-0009_672-122797-0047__T2__SCV2TTS__672-672-122797-0047__VOICE__1995,672,1995,HOW KIND MAN IS AFTER ALL,-24.43566689292254,absolute_failure_lt0,ordinary_separation_failure_or_unattributed,0.0,0.0,1.0,0.06293479489929421,0.06293479489929421,0.0,nan,0.17979482946818273,35.32651937920026,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1995-1836-0009_672-122797-0047__T2__SCV2TTS__672-672-122797-0047__VOICE__1995.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1995-1836-0009_672-122797-0047__T2__SCV2TTS__672-672-122797-0047__VOICE__1995.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1995-1836-0009_672-122797-0047__T2__SCV2TTS__672-672-122797-0047__VOICE__1995.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1995-1836-0009_672-122797-0047__T2__SCV2TTS__672-672-122797-0047__VOICE__1995.wav
context,672-122797-0063_1320-122617-0025__T1__SCV2TTS__672-672-122797-0063__VOICE__1320,672,1320,THEN GOOD BYE SAID THE RATS AND THEY WENT HOME,-23.721866043690067,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.014369071099019637,-0.014369071099019637,0.0,nan,0.22208532246831247,45.31917333919714,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/672-122797-0063_1320-122617-0025__T1__SCV2TTS__672-672-122797-0063__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0063_1320-122617-0025__T1__SCV2TTS__672-672-122797-0063__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/672-122797-0063_1320-122617-0025__T1__SCV2TTS__672-672-122797-0063__VOICE__1320.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0063_1320-122617-0025__T1__SCV2TTS__672-672-122797-0063__VOICE__1320.wav
context,8230-279154-0027_672-122797-0057__T2__SCV2TTS__672-672-122797-0057__VOICE__8230,672,8230,YES IN REALITY THOSE WERE HAPPY TIMES,-23.30904599057692,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.22039434253793763,-0.3035809336981263,0.0,0.0,0.3392544960392649,37.017543169035584,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/8230-279154-0027_672-122797-0057__T2__SCV2TTS__672-672-122797-0057__VOICE__8230.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/8230-279154-0027_672-122797-0057__T2__SCV2TTS__672-672-122797-0057__VOICE__8230.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/8230-279154-0027_672-122797-0057__T2__SCV2TTS__672-672-122797-0057__VOICE__8230.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/8230-279154-0027_672-122797-0057__T2__SCV2TTS__672-672-122797-0057__VOICE__8230.wav
context,672-122797-0060_7729-102255-0035__T1__SCV2TTS__672-672-122797-0060__VOICE__7729,672,7729,IT IS A VERY STUPID STORY,-22.72000013281208,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.02417105387982965,-0.02417105387982965,0.0,nan,0.37571610131446104,24.256238465851776,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/672-122797-0060_7729-102255-0035__T1__SCV2TTS__672-672-122797-0060__VOICE__7729.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0060_7729-102255-0035__T1__SCV2TTS__672-672-122797-0060__VOICE__7729.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/672-122797-0060_7729-102255-0035__T1__SCV2TTS__672-672-122797-0060__VOICE__7729.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0060_7729-102255-0035__T1__SCV2TTS__672-672-122797-0060__VOICE__7729.wav
context,1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320,672,1320,I AM BY NO MEANS OLD SAID THE FIR TREE,-22.382797077649244,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.22909235496099956,-0.22909235496099956,0.0,nan,0.3548334337584768,38.44070125391973,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav
context,672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61,672,61,IF IT ONLY WERE NOT SO DARK HERE AND SO TERRIBLY LONELY,-21.78852764466584,absolute_failure_lt0,confirmed_content_drift,0.6666666666666666,0.6666666666666666,1.0,-0.2737111662304552,-0.42555172936679525,0.0,0.0,0.500135096224641,30.76435140216564,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61.wav
context,7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176,672,7176,WHO IS HUMPY DUMPY ASKED THE MICE,-21.226332305229377,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.27208244817887695,-0.3388195566124334,0.0,0.0,0.3385300740497808,32.54938792637824,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176.wav
context,672-122797-0061_260-123286-0018__T1__SCV2TTS__672-672-122797-0061__VOICE__260,672,260,DON'T YOU KNOW ONE ABOUT BACON AND TALLOW CANDLES CAN'T YOU TELL ANY LARDER STORIES,-19.91507605393082,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.20615294715418198,-0.4814191869294062,0.0,0.0,0.2542930669896404,33.312857164743264,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/672-122797-0061_260-123286-0018__T1__SCV2TTS__672-672-122797-0061__VOICE__260.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0061_260-123286-0018__T1__SCV2TTS__672-672-122797-0061__VOICE__260.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/672-122797-0061_260-123286-0018__T1__SCV2TTS__672-672-122797-0061__VOICE__260.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0061_260-123286-0018__T1__SCV2TTS__672-672-122797-0061__VOICE__260.wav
context,672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455,672,8455,IT IS A VERY STUPID STORY,-19.27819102655101,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.14084469990374815,-0.14084469990374815,0.0,nan,0.15168608421698787,22.84063320960422,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav
context,672-122797-0005_260-123440-0018__T2__SCV2TTS__260-260-123440-0018__VOICE__672,260,672,I AM VERY TIRED OF SWIMMING ABOUT HERE O MOUSE,-17.89870534834342,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.2289177713810524,-0.27789175841290004,0.0,0.0,0.19084147574918192,26.324324820520445,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/672-122797-0005_260-123440-0018__T2__SCV2TTS__260-260-123440-0018__VOICE__672.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0005_260-123440-0018__T2__SCV2TTS__260-260-123440-0018__VOICE__672.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/672-122797-0005_260-123440-0018__T2__SCV2TTS__260-260-123440-0018__VOICE__672.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0005_260-123440-0018__T2__SCV2TTS__260-260-123440-0018__VOICE__672.wav
context,260-123288-0009_1320-122617-0023__T1__SCV2TTS__260-260-123288-0009__VOICE__1320,260,1320,THOSE CLOUDS SEEM AS IF THEY WERE GOING TO CRUSH THE SEA,-17.276370985947054,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.22770169675562357,-0.2528792123810667,0.0,nan,0.34959859244997604,31.579463425019846,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/context/inference_full/est_wav/260-123288-0009_1320-122617-0023__T1__SCV2TTS__260-260-123288-0009__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/260-123288-0009_1320-122617-0023__T1__SCV2TTS__260-260-123288-0009__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/260-123288-0009_1320-122617-0023__T1__SCV2TTS__260-260-123288-0009__VOICE__1320.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/260-123288-0009_1320-122617-0023__T1__SCV2TTS__260-260-123288-0009__VOICE__1320.wav
