cue,key,selection_group,audio_type,sisnr_i,content_mismatch_rate,joint_content_waveform_rate,speaker_mismatch_rate_1s,reference_text,asr_text,wer_to_target,token_f1_to_target,path
tfmap,1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320,extreme_failure,est,-17.58183070271245,1.0,1.0,0.0,I AM BY NO MEANS OLD SAID THE FIR TREE,BTHEAVE BENOTH WI TAKI HO,1.0,0.0,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav
tfmap,1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320,extreme_failure,target_clean,-17.58183070271245,1.0,1.0,0.0,I AM BY NO MEANS OLD SAID THE FIR TREE,I AM,0.8,0.33333333333333337,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav
tfmap,1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320,extreme_failure,synthetic_interferer,-17.58183070271245,1.0,1.0,0.0,I AM BY NO MEANS OLD SAID THE FIR TREE,BUT EVIDENCE WAS AVTYFONT,1.0,0.0,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav
tfmap,4446-2273-0023_6829-68769-0002__T1__SCV2TTS__4446-4446-2273-0023__VOICE__6829,extreme_failure,est,-17.56415400377302,0.8888888888888888,0.8888888888888888,0.1111111111111111,THE STRANGE WOMAN AND HER PASSIONATE SENTENCE THAT RANG OUT SO SHARPLY HAD FRIGHTENED THEM BOTH,THE TINKING STERN WILL MAMA ANDED DAK PITCHED E PENCY TIED RETIN OR LIOE OFER HIELD LIKE HADRIDE FRONT A,1.1875,0.05555555555555556,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/4446-2273-0023_6829-68769-0002__T1__SCV2TTS__4446-4446-2273-0023__VOICE__6829.wav
tfmap,4446-2273-0023_6829-68769-0002__T1__SCV2TTS__4446-4446-2273-0023__VOICE__6829,extreme_failure,target_clean,-17.56415400377302,0.8888888888888888,0.8888888888888888,0.1111111111111111,THE STRANGE WOMAN AND HER PASSIONATE SENTENCE THAT RANG OUT SO SHARPLY HAD FRIGHTENED THEM BOTH,THE STRANGE WOMAN AND HER PASSIONATE SENTENCE THAT RANG OUT SO SHARPLY HAD FRIGHTENED,0.125,0.9333333333333333,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/4446-2273-0023_6829-68769-0002__T1__SCV2TTS__4446-4446-2273-0023__VOICE__6829.wav
tfmap,4446-2273-0023_6829-68769-0002__T1__SCV2TTS__4446-4446-2273-0023__VOICE__6829,extreme_failure,synthetic_interferer,-17.56415400377302,0.8888888888888888,0.8888888888888888,0.1111111111111111,THE STRANGE WOMAN AND HER PASSIONATE SENTENCE THAT RANG OUT SO SHARPLY HAD FRIGHTENED THEM BOTH,TICHISTERN GUAM AND A PIERCENTENCITIDERANG OCRUSO SARPIOTOWAK HADWRITS N BOTE,0.9375,0.07692307692307693,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/4446-2273-0023_6829-68769-0002__T1__SCV2TTS__4446-4446-2273-0023__VOICE__6829.wav
tfmap,6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829,extreme_failure,est,-16.28283549543915,1.0,1.0,0.0,WHEN SHE FINISHED ALEXANDER SHOOK HIMSELF OUT OF A REVERIE,TEN E CAN'T FINISH A SHARE LIKE A CRICKER IT I AWFUL F ADA,1.4,0.08333333333333333,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829.wav
tfmap,6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829,extreme_failure,target_clean,-16.28283549543915,1.0,1.0,0.0,WHEN SHE FINISHED ALEXANDER SHOOK HIMSELF OUT OF A REVERIE,WHEN SHE FINISHED ALEXANDER SHOOK HIMSELF OUT OF A,0.1,0.9473684210526316,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829.wav
tfmap,6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829,extreme_failure,synthetic_interferer,-16.28283549543915,1.0,1.0,0.0,WHEN SHE FINISHED ALEXANDER SHOOK HIMSELF OUT OF A REVERIE,THE VICAT OF FIRNIS E SHI ALOCOX O HURCH IS LELPHO FOR AVALA,1.3,0.08695652173913043,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829.wav
tfmap,672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455,extreme_failure,est,-15.946709162941344,1.0,1.0,0.0,IT IS A VERY STUPID STORY,STUPESTOA,1.0,0.0,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav
tfmap,672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455,extreme_failure,target_clean,-15.946709162941344,1.0,1.0,0.0,IT IS A VERY STUPID STORY,IT IS,0.6666666666666666,0.5,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav
tfmap,672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455,extreme_failure,synthetic_interferer,-15.946709162941344,1.0,1.0,0.0,IT IS A VERY STUPID STORY,STUPANISTOA,1.0,0.0,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav
tfmap,1284-1181-0011_4446-2273-0036__T2__SCV2TTS__4446-4446-2273-0036__VOICE__1284,extreme_failure,est,-15.09473708216398,0.75,0.75,0.0,ALEXANDER UNCLENCHED THE TWO HANDS AT HIS SIDES,ALIC LETER  AND FIICLI SHE DI DO A HAND THAT I TIGHT,1.5,0.0,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1284-1181-0011_4446-2273-0036__T2__SCV2TTS__4446-4446-2273-0036__VOICE__1284.wav
tfmap,1284-1181-0011_4446-2273-0036__T2__SCV2TTS__4446-4446-2273-0036__VOICE__1284,extreme_failure,target_clean,-15.09473708216398,0.75,0.75,0.0,ALEXANDER UNCLENCHED THE TWO HANDS AT HIS SIDES,ALEXANDER CLENCHED THE TWO HANDS AT HIS SIDES,0.125,0.875,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1284-1181-0011_4446-2273-0036__T2__SCV2TTS__4446-4446-2273-0036__VOICE__1284.wav
tfmap,1284-1181-0011_4446-2273-0036__T2__SCV2TTS__4446-4446-2273-0036__VOICE__1284,extreme_failure,synthetic_interferer,-15.09473708216398,0.75,0.75,0.0,ALEXANDER UNCLENCHED THE TWO HANDS AT HIS SIDES,ALEXANDERA AND FIACHCHI TI DE GOHENZA TIISITIS,1.0,0.0,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1284-1181-0011_4446-2273-0036__T2__SCV2TTS__4446-4446-2273-0036__VOICE__1284.wav
tfmap,672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61,extreme_failure,est,-14.529908473571815,0.6666666666666666,0.6666666666666666,0.0,IF IT ONLY WERE NOT SO DARK HERE AND SO TERRIBLY LONELY,IF I TO IN A MOTER ANNESOL TEAR UP IL LETOER,0.9166666666666666,0.08695652173913043,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61.wav
tfmap,672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61,extreme_failure,target_clean,-14.529908473571815,0.6666666666666666,0.6666666666666666,0.0,IF IT ONLY WERE NOT SO DARK HERE AND SO TERRIBLY LONELY,IF IT ONLY WEN O,0.75,0.35294117647058826,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61.wav
tfmap,672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61,extreme_failure,synthetic_interferer,-14.529908473571815,0.6666666666666666,0.6666666666666666,0.0,IF IT ONLY WERE NOT SO DARK HERE AND SO TERRIBLY LONELY,I FIGT TWO IN A MOTER ANNASO TEAR U BAL LELINOL,1.0,0.0,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61.wav
tfmap,6829-68769-0051_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__6829,extreme_failure,est,-14.522940472877954,0.875,0.875,0.0,SHE CLOSED HER EYES AND TOOK A DEEP BREATH AS IF TO DRAW IN AGAIN THE FRAGRANCE OF THOSE DAYS,SHESES GEES LOSS E CERFYNEL FOLK AGMATA OF TOOLD ADO LAMILY IN ER Y CONFEGRILPH TOLD TO THE WEST,1.0,0.20512820512820512,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/6829-68769-0051_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__6829.wav
tfmap,6829-68769-0051_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__6829,extreme_failure,target_clean,-14.522940472877954,0.875,0.875,0.0,SHE CLOSED HER EYES AND TOOK A DEEP BREATH AS IF TO DRAW IN AGAIN THE FRAGRANCE OF THOSE DAYS,SHE CLOSED HER EYES AND TOOK A DEEP BREATH AS IF TO DRAW IN AGAIN THE FRAGRANCE OF THOSE DAY,0.05,0.9500000000000001,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/6829-68769-0051_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__6829.wav
tfmap,6829-68769-0051_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__6829,extreme_failure,synthetic_interferer,-14.522940472877954,0.875,0.875,0.0,SHE CLOSED HER EYES AND TOOK A DEEP BREATH AS IF TO DRAW IN AGAIN THE FRAGRANCE OF THOSE DAYS,THE SICHGISE LOST TO CEFFUNO'S OAK AGELS EFTOODADUAD AN ADERANTI FIGUR OF TOLSADUES,0.95,0.18181818181818185,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/6829-68769-0051_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__6829.wav
tfmap,8463-294828-0027_5683-32866-0030__T1__SCV2TTS__8463-8463-294828-0027__VOICE__5683,extreme_failure,est,-13.86705475681627,0.9,0.9,0.3,I LEFT INSTRUCTIONS FOR SHIPPING MY CONTAINERS OF STUFFED ANIMALS AND DRIED PLANTS TO PARIS FRANCE,I LEFT IN I TENTHINE YO SNOLL AS FAR TILLI MI COSHI NURSE O STOFIT AN MELSN ANDURI TE PHILANSCAPRANCY,1.125,0.11111111111111112,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/8463-294828-0027_5683-32866-0030__T1__SCV2TTS__8463-8463-294828-0027__VOICE__5683.wav
