cue,key,target_spk,interferer_spk,target_text,sisnr_i,relative_band,failure_cause,content_mismatch_rate,joint_content_waveform_rate,waveform_interferer_rate,mean_content_gap,min_content_gap,speaker_mismatch_rate_1s,speaker_mismatch_rate_2s,speaker_gap_mean_1s,local_sisdr_gap_mean_1s,est_path,target_ref,interferer_ref,synthetic_interferer
usef,4446-2273-0023_260-123288-0011__T1__SCV2TTS__4446-4446-2273-0023__VOICE__260,4446,260,THE STRANGE WOMAN AND HER PASSIONATE SENTENCE THAT RANG OUT SO SHARPLY HAD FRIGHTENED THEM BOTH,-23.452086604334216,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.21189226374437672,-0.35711594701837135,0.09090909090909091,0.0,0.2923117247551342,31.879849593837378,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/4446-2273-0023_260-123288-0011__T1__SCV2TTS__4446-4446-2273-0023__VOICE__260.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/4446-2273-0023_260-123288-0011__T1__SCV2TTS__4446-4446-2273-0023__VOICE__260.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/4446-2273-0023_260-123288-0011__T1__SCV2TTS__4446-4446-2273-0023__VOICE__260.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/4446-2273-0023_260-123288-0011__T1__SCV2TTS__4446-4446-2273-0023__VOICE__260.wav
usef,260-123440-0011_4446-2275-0005__T2__SCV2TTS__4446-4446-2275-0005__VOICE__260,4446,260,I FELT IT IN MY BONES WHEN I WOKE THIS MORNING THAT SOMETHING SPLENDID WAS GOING TO TURN UP,-20.667741579512622,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.20230726873931787,-0.3003003120145946,0.0,0.0,0.27060261709261774,28.97218236139162,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/260-123440-0011_4446-2275-0005__T2__SCV2TTS__4446-4446-2275-0005__VOICE__260.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/260-123440-0011_4446-2275-0005__T2__SCV2TTS__4446-4446-2275-0005__VOICE__260.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/260-123440-0011_4446-2275-0005__T2__SCV2TTS__4446-4446-2275-0005__VOICE__260.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/260-123440-0011_4446-2275-0005__T2__SCV2TTS__4446-4446-2275-0005__VOICE__260.wav
usef,1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320,672,1320,I AM BY NO MEANS OLD SAID THE FIR TREE,-20.5459419580286,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.2535649487327172,-0.2535649487327172,0.0,nan,0.2659657255841755,39.01924162385594,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav
usef,7729-102255-0037_8463-294828-0000__T2__SCV2TTS__8463-8463-294828-0000__VOICE__7729,8463,7729,CHAPTER THREE AS MASTER WISHES,-20.53256993381823,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.1326760618685795,-0.21318727216128486,0.0,nan,0.4198461257424442,26.23072673539513,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/7729-102255-0037_8463-294828-0000__T2__SCV2TTS__8463-8463-294828-0000__VOICE__7729.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/7729-102255-0037_8463-294828-0000__T2__SCV2TTS__8463-8463-294828-0000__VOICE__7729.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/7729-102255-0037_8463-294828-0000__T2__SCV2TTS__8463-8463-294828-0000__VOICE__7729.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/7729-102255-0037_8463-294828-0000__T2__SCV2TTS__8463-8463-294828-0000__VOICE__7729.wav
usef,260-123286-0028_4446-2273-0035__T2__SCV2TTS__4446-4446-2273-0035__VOICE__260,4446,260,BARTLEY LEANED OVER HER SHOULDER WITHOUT TOUCHING HER AND WHISPERED IN HER EAR YOU ARE GIVING ME A CHANCE YES,-20.51997559927291,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.25367486782771614,-0.5152995418397955,0.1,0.0,0.248732151096723,26.526259824286306,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/260-123286-0028_4446-2273-0035__T2__SCV2TTS__4446-4446-2273-0035__VOICE__260.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/260-123286-0028_4446-2273-0035__T2__SCV2TTS__4446-4446-2273-0035__VOICE__260.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/260-123286-0028_4446-2273-0035__T2__SCV2TTS__4446-4446-2273-0035__VOICE__260.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/260-123286-0028_4446-2273-0035__T2__SCV2TTS__4446-4446-2273-0035__VOICE__260.wav
usef,4446-2273-0022_2830-3980-0023__T1__SCV2TTS__4446-4446-2273-0022__VOICE__2830,4446,2830,THEY WERE BOTH REMEMBERING WHAT THE WOMAN HAD SAID WHEN SHE TOOK THE MONEY GOD GIVE YOU A HAPPY LOVE,-19.845082851297423,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.22931819318887386,-0.35276999364078243,0.0,0.0,0.30932563594526713,33.11735645826329,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/4446-2273-0022_2830-3980-0023__T1__SCV2TTS__4446-4446-2273-0022__VOICE__2830.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/4446-2273-0022_2830-3980-0023__T1__SCV2TTS__4446-4446-2273-0022__VOICE__2830.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/4446-2273-0022_2830-3980-0023__T1__SCV2TTS__4446-4446-2273-0022__VOICE__2830.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/4446-2273-0022_2830-3980-0023__T1__SCV2TTS__4446-4446-2273-0022__VOICE__2830.wav
usef,1995-1836-0012_4446-2275-0034__T2__SCV2TTS__4446-4446-2275-0034__VOICE__1995,4446,1995,KEEP AWAY IF YOU WISH WHEN HAVE I EVER FOLLOWED YOU,-19.48519918721378,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.20607872659325643,-0.3176524423787594,0.0,0.0,0.15967999265612873,27.83914661815875,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1995-1836-0012_4446-2275-0034__T2__SCV2TTS__4446-4446-2275-0034__VOICE__1995.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1995-1836-0012_4446-2275-0034__T2__SCV2TTS__4446-4446-2275-0034__VOICE__1995.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1995-1836-0012_4446-2275-0034__T2__SCV2TTS__4446-4446-2275-0034__VOICE__1995.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1995-1836-0012_4446-2275-0034__T2__SCV2TTS__4446-4446-2275-0034__VOICE__1995.wav
usef,4446-2275-0006_2300-131720-0005__T1__SCV2TTS__4446-4446-2275-0006__VOICE__2300,4446,2300,I THOUGHT IT MIGHT BE SISTER KATE OR COUSIN MIKE WOULD BE HAPPENING ALONG,-19.102176616810578,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.13889933380128622,-0.23976187169137575,0.0,0.0,0.32971207826407994,31.769089285936023,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/4446-2275-0006_2300-131720-0005__T1__SCV2TTS__4446-4446-2275-0006__VOICE__2300.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/4446-2275-0006_2300-131720-0005__T1__SCV2TTS__4446-4446-2275-0006__VOICE__2300.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/4446-2275-0006_2300-131720-0005__T1__SCV2TTS__4446-4446-2275-0006__VOICE__2300.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/4446-2275-0006_2300-131720-0005__T1__SCV2TTS__4446-4446-2275-0006__VOICE__2300.wav
usef,4446-2275-0006_61-70968-0039__T1__SCV2TTS__4446-4446-2275-0006__VOICE__61,4446,61,I THOUGHT IT MIGHT BE SISTER KATE OR COUSIN MIKE WOULD BE HAPPENING ALONG,-18.488066516180325,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.24026776319430496,-0.31923884987681916,0.0,0.0,0.41414329469585964,24.737103805298563,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/4446-2275-0006_61-70968-0039__T1__SCV2TTS__4446-4446-2275-0006__VOICE__61.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/4446-2275-0006_61-70968-0039__T1__SCV2TTS__4446-4446-2275-0006__VOICE__61.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/4446-2275-0006_61-70968-0039__T1__SCV2TTS__4446-4446-2275-0006__VOICE__61.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/4446-2275-0006_61-70968-0039__T1__SCV2TTS__4446-4446-2275-0006__VOICE__61.wav
usef,1320-122617-0012_4446-2273-0029__T2__SCV2TTS__4446-4446-2273-0029__VOICE__1320,4446,1320,IT'S REALLY TOO WARM IN THIS ROOM TO SING DON'T YOU FEEL IT,-18.014472453389384,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.19042413750642861,-0.19922328784317056,0.0,nan,0.35069767281162045,27.001319962332115,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/1320-122617-0012_4446-2273-0029__T2__SCV2TTS__4446-4446-2273-0029__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1320-122617-0012_4446-2273-0029__T2__SCV2TTS__4446-4446-2273-0029__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1320-122617-0012_4446-2273-0029__T2__SCV2TTS__4446-4446-2273-0029__VOICE__1320.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1320-122617-0012_4446-2273-0029__T2__SCV2TTS__4446-4446-2273-0029__VOICE__1320.wav
