cue,key,target_spk,interferer_spk,target_text,sisnr_i,relative_band,failure_cause,content_mismatch_rate,joint_content_waveform_rate,waveform_interferer_rate,mean_content_gap,min_content_gap,speaker_mismatch_rate_1s,speaker_mismatch_rate_2s,speaker_gap_mean_1s,local_sisdr_gap_mean_1s,est_path,target_ref,interferer_ref,synthetic_interferer
usef,6829-68769-0003_8463-294825-0006__T2__SCV2TTS__8463-8463-294825-0006__VOICE__6829,8463,6829,HIS SPECIFICATIONS FOR AN OPEN SEA SUBMARINE AND A SELF CONTAINED DIVING SUIT WERE DECADES BEFORE THEIR TIME YET MODERN TECHNOLOGY BEARS THEM OUT TRIUMPHANTLY,-10.040401677059783,absolute_failure_lt0,mixed_content_and_speaker_drift,0.8666666666666667,0.8666666666666667,1.0,-0.16732296623299278,-0.4287579740528214,1.0,1.0,-0.3178291483502665,-26.824307889315502,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/6829-68769-0003_8463-294825-0006__T2__SCV2TTS__8463-8463-294825-0006__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/6829-68769-0003_8463-294825-0006__T2__SCV2TTS__8463-8463-294825-0006__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/6829-68769-0003_8463-294825-0006__T2__SCV2TTS__8463-8463-294825-0006__VOICE__6829.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/6829-68769-0003_8463-294825-0006__T2__SCV2TTS__8463-8463-294825-0006__VOICE__6829.wav
usef,5683-32879-0014_8463-294828-0033__T2__SCV2TTS__8463-8463-294828-0033__VOICE__5683,8463,5683,I WAS WELL SATISFIED WITH MY CABIN WHICH WAS LOCATED IN THE STERN AND OPENED INTO THE OFFICERS MESS,-10.436001102315698,absolute_failure_lt0,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.183386932865369,-0.2840266818777253,0.6,0.25,-0.01999849956017773,5.6977563121231265,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/5683-32879-0014_8463-294828-0033__T2__SCV2TTS__8463-8463-294828-0033__VOICE__5683.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/5683-32879-0014_8463-294828-0033__T2__SCV2TTS__8463-8463-294828-0033__VOICE__5683.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/5683-32879-0014_8463-294828-0033__T2__SCV2TTS__8463-8463-294828-0033__VOICE__5683.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/5683-32879-0014_8463-294828-0033__T2__SCV2TTS__8463-8463-294828-0033__VOICE__5683.wav
usef,6829-68769-0012_8463-294828-0001__T2__SCV2TTS__8463-8463-294828-0001__VOICE__6829,8463,6829,THREE SECONDS BEFORE THE ARRIVAL OF J B HOBSON'S LETTER I NO MORE DREAMED OF CHASING THE UNICORN THAN OF TRYING FOR THE NORTHWEST PASSAGE,-5.913960410215048,absolute_failure_lt0,mixed_content_and_speaker_drift,0.8461538461538461,0.7692307692307693,0.8461538461538461,-0.0878382983371473,-0.21693115706866684,0.7692307692307693,1.0,-0.19145146500692814,-11.033564291600413,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/6829-68769-0012_8463-294828-0001__T2__SCV2TTS__8463-8463-294828-0001__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/6829-68769-0012_8463-294828-0001__T2__SCV2TTS__8463-8463-294828-0001__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/6829-68769-0012_8463-294828-0001__T2__SCV2TTS__8463-8463-294828-0001__VOICE__6829.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/6829-68769-0012_8463-294828-0001__T2__SCV2TTS__8463-8463-294828-0001__VOICE__6829.wav
usef,8463-294828-0029_2961-961-0017__T1__SCV2TTS__8463-8463-294828-0029__VOICE__2961,8463,2961,OUR BAGGAGE WAS IMMEDIATELY CARRIED TO THE DECK OF THE FRIGATE I RUSHED ABOARD,-8.501131963707929,absolute_failure_lt0,mixed_content_and_speaker_drift,0.75,0.75,1.0,-0.1639698230469958,-0.25504760045238306,0.75,0.0,-0.06379886817686312,-1.1565092450549648,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/8463-294828-0029_2961-961-0017__T1__SCV2TTS__8463-8463-294828-0029__VOICE__2961.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/8463-294828-0029_2961-961-0017__T1__SCV2TTS__8463-8463-294828-0029__VOICE__2961.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/8463-294828-0029_2961-961-0017__T1__SCV2TTS__8463-8463-294828-0029__VOICE__2961.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/8463-294828-0029_2961-961-0017__T1__SCV2TTS__8463-8463-294828-0029__VOICE__2961.wav
usef,8555-284449-0001_4446-2275-0041__T2__SCV2TTS__4446-4446-2275-0041__VOICE__8555,4446,8555,YOU SEE LOVING SOME ONE AS I LOVE YOU MAKES THE WHOLE WORLD DIFFERENT,-7.966267016489488,absolute_failure_lt0,mixed_content_and_speaker_drift,0.5,0.5,0.8333333333333334,-0.022929950868406112,-0.1510618894882227,1.0,1.0,-0.11602637399072828,-3.2747733368578262,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/8555-284449-0001_4446-2275-0041__T2__SCV2TTS__4446-4446-2275-0041__VOICE__8555.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/8555-284449-0001_4446-2275-0041__T2__SCV2TTS__4446-4446-2275-0041__VOICE__8555.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/8555-284449-0001_4446-2275-0041__T2__SCV2TTS__4446-4446-2275-0041__VOICE__8555.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/8555-284449-0001_4446-2275-0041__T2__SCV2TTS__4446-4446-2275-0041__VOICE__8555.wav
usef,7021-79740-0012_8455-210777-0020__T1__SCV2TTS__7021-7021-79740-0012__VOICE__8455,7021,8455,SAID SHE POINTING TO THE PLAYTHINGS SEE,1.847237834606377,weak_0_5,mixed_content_and_speaker_drift,1.0,1.0,1.0,-0.17991038020185737,-0.2936316839075707,0.5,nan,0.22635229410521823,2.403695833921323,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/7021-79740-0012_8455-210777-0020__T1__SCV2TTS__7021-7021-79740-0012__VOICE__8455.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/7021-79740-0012_8455-210777-0020__T1__SCV2TTS__7021-7021-79740-0012__VOICE__8455.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/7021-79740-0012_8455-210777-0020__T1__SCV2TTS__7021-7021-79740-0012__VOICE__8455.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/7021-79740-0012_8455-210777-0020__T1__SCV2TTS__7021-7021-79740-0012__VOICE__8455.wav
usef,5105-28241-0011_4446-2273-0004__T2__SCV2TTS__4446-4446-2273-0004__VOICE__5105,4446,5105,I SHOULD NEVER HAVE ASKED YOU IF MOLLY HAD BEEN HERE FOR I REMEMBER YOU DON'T LIKE ENGLISH COOKERY,-2.0439672847275046,absolute_failure_lt0,mixed_content_and_speaker_drift,0.6666666666666666,0.5555555555555556,0.6666666666666666,-0.06463221459714587,-0.34568665902844053,0.8888888888888888,1.0,-0.09164348451329397,-10.767765739793553,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/5105-28241-0011_4446-2273-0004__T2__SCV2TTS__4446-4446-2273-0004__VOICE__5105.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/5105-28241-0011_4446-2273-0004__T2__SCV2TTS__4446-4446-2273-0004__VOICE__5105.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/5105-28241-0011_4446-2273-0004__T2__SCV2TTS__4446-4446-2273-0004__VOICE__5105.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/5105-28241-0011_4446-2273-0004__T2__SCV2TTS__4446-4446-2273-0004__VOICE__5105.wav
usef,4446-2275-0007_121-121726-0012__T1__SCV2TTS__4446-4446-2275-0007__VOICE__121,4446,121,SHE PUSHED HIM TOWARD THE BIG CHAIR BY THE FIRE AND SAT DOWN ON A STOOL AT THE OPPOSITE SIDE OF THE HEARTH HER KNEES DRAWN UP TO HER CHIN LAUGHING LIKE A HAPPY LITTLE GIRL,-7.212293315225925,absolute_failure_lt0,mixed_content_and_speaker_drift,0.875,0.8125,0.875,-0.1370617809382376,-0.3372409574294515,0.625,0.7142857142857143,-0.07942343809693009,-6.1463625770034405,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/4446-2275-0007_121-121726-0012__T1__SCV2TTS__4446-4446-2275-0007__VOICE__121.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/4446-2275-0007_121-121726-0012__T1__SCV2TTS__4446-4446-2275-0007__VOICE__121.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/4446-2275-0007_121-121726-0012__T1__SCV2TTS__4446-4446-2275-0007__VOICE__121.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/4446-2275-0007_121-121726-0012__T1__SCV2TTS__4446-4446-2275-0007__VOICE__121.wav
usef,908-31957-0004_4446-2275-0016__T2__SCV2TTS__4446-4446-2275-0016__VOICE__908,4446,908,HILDA WATCHED HIM FROM HER CORNER TREMBLING AND SCARCELY BREATHING DARK SHADOWS GROWING ABOUT HER EYES IT,-8.216529159732621,absolute_failure_lt0,mixed_content_and_speaker_drift,0.9166666666666666,0.9166666666666666,1.0,-0.14587119993061354,-0.24183618538697016,0.5,0.3333333333333333,-0.006831824030311587,-0.6986863964677404,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/908-31957-0004_4446-2275-0016__T2__SCV2TTS__4446-4446-2275-0016__VOICE__908.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/908-31957-0004_4446-2275-0016__T2__SCV2TTS__4446-4446-2275-0016__VOICE__908.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/908-31957-0004_4446-2275-0016__T2__SCV2TTS__4446-4446-2275-0016__VOICE__908.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/908-31957-0004_4446-2275-0016__T2__SCV2TTS__4446-4446-2275-0016__VOICE__908.wav
usef,4992-41806-0005_8463-294828-0035__T2__SCV2TTS__8463-8463-294828-0035__VOICE__4992,8463,4992,AND SO IF I'D BEEN DELAYED BY A QUARTER OF AN HOUR OR EVEN LESS THE FRIGATE WOULD HAVE GONE WITHOUT ME AND I WOULD HAVE MISSED OUT ON THIS UNEARTHLY EXTRAORDINARY AND INCONCEIVABLE EXPEDITION WHOSE TRUE STORY MIGHT WELL MEET WITH SOME SKEPTICISM,-3.008140616163271,absolute_failure_lt0,mixed_content_and_speaker_drift,0.75,0.625,0.75,-0.027323877962367796,-0.1634637416326259,0.7916666666666666,0.7272727272727273,-0.1050584241707609,-4.8759039287755375,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/usef/inference_full/est_wav/4992-41806-0005_8463-294828-0035__T2__SCV2TTS__8463-8463-294828-0035__VOICE__4992.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/4992-41806-0005_8463-294828-0035__T2__SCV2TTS__8463-8463-294828-0035__VOICE__4992.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/4992-41806-0005_8463-294828-0035__T2__SCV2TTS__8463-8463-294828-0035__VOICE__4992.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/4992-41806-0005_8463-294828-0035__T2__SCV2TTS__8463-8463-294828-0035__VOICE__4992.wav
