condition,cue,key,target_spk,mix_path,target_path,est_path,mix_sisnr,est_sisnr,sisnr_i
sirm5db,TFMap,4077-13754-0001_5142-33396-0065__T1__4077-4077-13754-0001__HSIMV3__8455-8455-210777-0049__SIRm5,4077,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/4077-13754-0001_5142-33396-0065__T1__4077-4077-13754-0001__HSIMV3__8455-8455-210777-0049__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/4077-13754-0001_5142-33396-0065__T1__4077-4077-13754-0001__HSIMV3__8455-8455-210777-0049__SIRm5.wav,/data/tse_cue_project/diagnostics/bsrnn_ft13_hard_simspk_v3_20260605/tfmap_sirm5db_part0/audio/Utt249-4077-13754-0001_5142-33396-0065__T1__4077-4077-13754-0001__HSIMV3__8455-8455-210777-0049__SIRm5-T4077.wav,-5.212467786776525,5.3939859596233175,10.606453746399843
sirm5db,TFMap,4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__HSIMV3__4970-4970-29095-0002__SIRm5,5142,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__HSIMV3__4970-4970-29095-0002__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__HSIMV3__4970-4970-29095-0002__SIRm5.wav,/data/tse_cue_project/diagnostics/bsrnn_ft13_hard_simspk_v3_20260605/tfmap_sirm5db_part0/audio/Utt2863-4077-13754-0001_5142-33396-0065__T2__5142-5142-33396-0065__HSIMV3__4970-4970-29095-0002__SIRm5-T5142.wav,-4.984286586848933,8.87741783985707,13.861704426706003
sirm5db,TFMap,6930-76324-0027_5683-32879-0011__T1__6930-6930-76324-0027__HSIMV3__260-260-123440-0010__SIRm5,6930,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/6930-76324-0027_5683-32879-0011__T1__6930-6930-76324-0027__HSIMV3__260-260-123440-0010__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/6930-76324-0027_5683-32879-0011__T1__6930-6930-76324-0027__HSIMV3__260-260-123440-0010__SIRm5.wav,/data/tse_cue_project/diagnostics/bsrnn_ft13_hard_simspk_v3_20260605/tfmap_sirm5db_part0/audio/Utt273-6930-76324-0027_5683-32879-0011__T1__6930-6930-76324-0027__HSIMV3__260-260-123440-0010__SIRm5-T6930.wav,-4.975020340795345,9.548880222829434,14.523900563624778
sirm5db,TFMap,6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__HSIMV3__237-237-134500-0041__SIRm5,5683,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__HSIMV3__237-237-134500-0041__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__HSIMV3__237-237-134500-0041__SIRm5.wav,/data/tse_cue_project/diagnostics/bsrnn_ft13_hard_simspk_v3_20260605/tfmap_sirm5db_part0/audio/Utt4709-6930-76324-0027_5683-32879-0011__T2__5683-5683-32879-0011__HSIMV3__237-237-134500-0041__SIRm5-T5683.wav,-5.100162081707282,2.3010189313863476,7.4011810130936295
sirm5db,TFMap,1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__HSIMV3__2830-2830-3980-0050__SIRm5,1188,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__HSIMV3__2830-2830-3980-0050__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__HSIMV3__2830-2830-3980-0050__SIRm5.wav,/data/tse_cue_project/diagnostics/bsrnn_ft13_hard_simspk_v3_20260605/tfmap_sirm5db_part0/audio/Utt665-1188-133604-0025_4992-23283-0016__T1__1188-1188-133604-0025__HSIMV3__2830-2830-3980-0050__SIRm5-T1188.wav,-4.948401704507386,1.699633202675706,6.648034907183092
sirm5db,TFMap,1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV3__4446-4446-2275-0041__SIRm5,4992,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV3__4446-4446-2275-0041__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV3__4446-4446-2275-0041__SIRm5.wav,/data/tse_cue_project/diagnostics/bsrnn_ft13_hard_simspk_v3_20260605/tfmap_sirm5db_part0/audio/Utt7-1188-133604-0025_4992-23283-0016__T2__4992-4992-23283-0016__HSIMV3__4446-4446-2275-0041__SIRm5-T4992.wav,-5.430986357803603,3.8608774824405567,9.29186384024416
sirm5db,TFMap,5683-32866-0012_121-121726-0001__T1__5683-5683-32866-0012__HSIMV3__237-237-134500-0037__SIRm5,5683,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/5683-32866-0012_121-121726-0001__T1__5683-5683-32866-0012__HSIMV3__237-237-134500-0037__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/5683-32866-0012_121-121726-0001__T1__5683-5683-32866-0012__HSIMV3__237-237-134500-0037__SIRm5.wav,/data/tse_cue_project/diagnostics/bsrnn_ft13_hard_simspk_v3_20260605/tfmap_sirm5db_part0/audio/Utt5713-5683-32866-0012_121-121726-0001__T1__5683-5683-32866-0012__HSIMV3__237-237-134500-0037__SIRm5-T5683.wav,-5.292612744042675,0.2483482203985282,5.540960964441203
sirm5db,TFMap,5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__HSIMV3__237-237-134500-0000__SIRm5,121,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__HSIMV3__237-237-134500-0000__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__HSIMV3__237-237-134500-0000__SIRm5.wav,/data/tse_cue_project/diagnostics/bsrnn_ft13_hard_simspk_v3_20260605/tfmap_sirm5db_part0/audio/Utt2325-5683-32866-0012_121-121726-0001__T2__121-121-121726-0001__HSIMV3__237-237-134500-0000__SIRm5-T121.wav,-5.067127079731443,7.471472190392092,12.538599270123534
sirm5db,TFMap,1995-1837-0025_5142-36377-0017__T1__1995-1995-1837-0025__HSIMV3__2094-2094-142345-0037__SIRm5,1995,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1995-1837-0025_5142-36377-0017__T1__1995-1995-1837-0025__HSIMV3__2094-2094-142345-0037__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1995-1837-0025_5142-36377-0017__T1__1995-1995-1837-0025__HSIMV3__2094-2094-142345-0037__SIRm5.wav,/data/tse_cue_project/diagnostics/bsrnn_ft13_hard_simspk_v3_20260605/tfmap_sirm5db_part0/audio/Utt5965-1995-1837-0025_5142-36377-0017__T1__1995-1995-1837-0025__HSIMV3__2094-2094-142345-0037__SIRm5-T1995.wav,-5.0340838270494945,4.61910188754799,9.653185714597484
sirm5db,TFMap,1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__HSIMV3__4970-4970-29095-0035__SIRm5,5142,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/mix_clean/1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__HSIMV3__4970-4970-29095-0035__SIRm5.wav,/data/tse_cue_project/datasets/librimix_similar_speaker_hard_v3_sirm5db/test/s1/1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__HSIMV3__4970-4970-29095-0035__SIRm5.wav,/data/tse_cue_project/diagnostics/bsrnn_ft13_hard_simspk_v3_20260605/tfmap_sirm5db_part0/audio/Utt3683-1995-1837-0025_5142-36377-0017__T2__5142-5142-36377-0017__HSIMV3__4970-4970-29095-0035__SIRm5-T5142.wav,-5.018429781107096,2.8828703690202504,7.901300150127346
