cue,key,target_spk,interferer_spk,target_text,sisnr_i,relative_band,failure_cause,content_mismatch_rate,joint_content_waveform_rate,waveform_interferer_rate,mean_content_gap,min_content_gap,speaker_mismatch_rate_1s,speaker_mismatch_rate_2s,speaker_gap_mean_1s,local_sisdr_gap_mean_1s,est_path,target_ref,interferer_ref,synthetic_interferer
tfmap,1089-134686-0000_121-127105-0031__T1__SCV2TTS__1089-1089-134686-0000__VOICE__121,1089,121,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,6.202330390808966,normal_mid,ambiguous_or_mild_local_error,0.10526315789473684,0.0,0.0,0.12412708266416239,-0.01728787211625782,0.0,0.0,0.39545328287733866,20.222845379407424,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0000_121-127105-0031__T1__SCV2TTS__1089-1089-134686-0000__VOICE__121.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0000_121-127105-0031__T1__SCV2TTS__1089-1089-134686-0000__VOICE__121.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0000_121-127105-0031__T1__SCV2TTS__1089-1089-134686-0000__VOICE__121.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0000_121-127105-0031__T1__SCV2TTS__1089-1089-134686-0000__VOICE__121.wav
tfmap,1089-134686-0000_121-127105-0031__T2__SCV2TTS__121-121-127105-0031__VOICE__1089,121,1089,SHE WAS YOUNG UNTRIED NERVOUS IT WAS A VISION OF SERIOUS DUTIES AND LITTLE COMPANY OF REALLY GREAT LONELINESS,7.327777033572293,normal_mid,stable_success,0.09090909090909091,0.0,0.0,0.16403031407406923,-0.10993854052696272,0.0,0.0,0.4197361761326104,20.44812988684203,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0000_121-127105-0031__T2__SCV2TTS__121-121-127105-0031__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0000_121-127105-0031__T2__SCV2TTS__121-121-127105-0031__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0000_121-127105-0031__T2__SCV2TTS__121-121-127105-0031__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0000_121-127105-0031__T2__SCV2TTS__121-121-127105-0031__VOICE__1089.wav
tfmap,1089-134686-0000_260-123440-0016__T1__SCV2TTS__1089-1089-134686-0000__VOICE__260,1089,260,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,3.75780798517185,weak_0_5,ambiguous_or_mild_local_error,0.3684210526315789,0.05263157894736842,0.10526315789473684,0.02033685936156258,-0.24080913141129323,0.21052631578947367,0.2222222222222222,0.1175424190299481,2.9231454875118152,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0000_260-123440-0016__T1__SCV2TTS__1089-1089-134686-0000__VOICE__260.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0000_260-123440-0016__T1__SCV2TTS__1089-1089-134686-0000__VOICE__260.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0000_260-123440-0016__T1__SCV2TTS__1089-1089-134686-0000__VOICE__260.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0000_260-123440-0016__T1__SCV2TTS__1089-1089-134686-0000__VOICE__260.wav
tfmap,1089-134686-0000_260-123440-0016__T2__SCV2TTS__260-260-123440-0016__VOICE__1089,260,1089,I SHALL BE PUNISHED FOR IT NOW I SUPPOSE BY BEING DROWNED IN MY OWN TEARS,-1.927695565758997,absolute_failure_lt0,confirmed_content_drift,1.0,0.7142857142857143,0.7142857142857143,-0.1792629562269536,-0.2856383266541769,0.0,0.0,0.20322765162354278,8.21001822156734,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0000_260-123440-0016__T2__SCV2TTS__260-260-123440-0016__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0000_260-123440-0016__T2__SCV2TTS__260-260-123440-0016__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0000_260-123440-0016__T2__SCV2TTS__260-260-123440-0016__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0000_260-123440-0016__T2__SCV2TTS__260-260-123440-0016__VOICE__1089.wav
tfmap,1089-134686-0000_61-70968-0047__T1__SCV2TTS__1089-1089-134686-0000__VOICE__61,1089,61,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,-0.3059285528091128,absolute_failure_lt0,confirmed_content_drift,1.0,0.5,0.5,-0.22405146477959054,-0.3636837427090647,0.14285714285714285,0.0,0.24325551304422663,3.210924280253504,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0000_61-70968-0047__T1__SCV2TTS__1089-1089-134686-0000__VOICE__61.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0000_61-70968-0047__T1__SCV2TTS__1089-1089-134686-0000__VOICE__61.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0000_61-70968-0047__T1__SCV2TTS__1089-1089-134686-0000__VOICE__61.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0000_61-70968-0047__T1__SCV2TTS__1089-1089-134686-0000__VOICE__61.wav
tfmap,1089-134686-0000_61-70968-0047__T2__SCV2TTS__61-61-70968-0047__VOICE__1089,61,1089,MASTER MONCEUX THE SHERIFF OF NOTTINGHAM WAS MIGHTILY PUT ABOUT WHEN TOLD OF THE RIOTING,2.532199088822543,weak_0_5,speaker_drift_or_identity_instability,0.125,0.0,0.0,0.08735856884252126,-0.07840431047059238,1.0,1.0,-0.20974970933654263,-6.49632691614349,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0000_61-70968-0047__T2__SCV2TTS__61-61-70968-0047__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0000_61-70968-0047__T2__SCV2TTS__61-61-70968-0047__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0000_61-70968-0047__T2__SCV2TTS__61-61-70968-0047__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0000_61-70968-0047__T2__SCV2TTS__61-61-70968-0047__VOICE__1089.wav
tfmap,1089-134686-0002_7729-102255-0037__T1__SCV2TTS__1089-1089-134686-0002__VOICE__7729,1089,7729,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,2.108438436591675,weak_0_5,speaker_drift_or_identity_instability,0.1,0.0,0.0,0.07620314936692277,-0.07452947196492743,0.7,0.5,-0.01674214078041978,2.9813493753656863,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0002_7729-102255-0037__T1__SCV2TTS__1089-1089-134686-0002__VOICE__7729.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0002_7729-102255-0037__T1__SCV2TTS__1089-1089-134686-0002__VOICE__7729.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0002_7729-102255-0037__T1__SCV2TTS__1089-1089-134686-0002__VOICE__7729.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0002_7729-102255-0037__T1__SCV2TTS__1089-1089-134686-0002__VOICE__7729.wav
tfmap,1089-134686-0002_7729-102255-0037__T2__SCV2TTS__7729-7729-102255-0037__VOICE__1089,7729,1089,HALF AN HOUR LATER TURNING A DEAF EAR TO ALL REMONSTRANCE HE GAVE THE PROPRIETORS UNTIL FIVE O'CLOCK TO REMOVE THEIR FAMILIES AND PERSONAL PROPERTY FROM THE FREE STATE HOTEL,-0.4994535130580676,absolute_failure_lt0,confirmed_content_drift,0.9473684210526315,0.42105263157894735,0.42105263157894735,-0.13111723394742944,-0.285469513252004,0.0,0.0,0.29164520370068664,7.238560723444646,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0002_7729-102255-0037__T2__SCV2TTS__7729-7729-102255-0037__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0002_7729-102255-0037__T2__SCV2TTS__7729-7729-102255-0037__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0002_7729-102255-0037__T2__SCV2TTS__7729-7729-102255-0037__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0002_7729-102255-0037__T2__SCV2TTS__7729-7729-102255-0037__VOICE__1089.wav
tfmap,1089-134686-0004_1284-1180-0027__T1__SCV2TTS__1089-1089-134686-0004__VOICE__1284,1089,1284,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,6.39372182172779,normal_mid,ambiguous_or_mild_local_error,0.2,0.0,0.0,0.0837666809895851,-0.01653090465315077,0.0,0.0,0.31670979742402744,24.767470396969507,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0004_1284-1180-0027__T1__SCV2TTS__1089-1089-134686-0004__VOICE__1284.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0004_1284-1180-0027__T1__SCV2TTS__1089-1089-134686-0004__VOICE__1284.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0004_1284-1180-0027__T1__SCV2TTS__1089-1089-134686-0004__VOICE__1284.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0004_1284-1180-0027__T1__SCV2TTS__1089-1089-134686-0004__VOICE__1284.wav
tfmap,1089-134686-0004_1284-1180-0027__T2__SCV2TTS__1284-1284-1180-0027__VOICE__1089,1284,1089,YET THAT TASK WAS NOT SO EASY AS YOU MAY SUPPOSE,6.8503449250494635,normal_mid,stable_success,0.0,0.0,0.0,0.2645713793359271,0.19294372307341745,0.0,0.0,0.3307064719015609,23.28924566568521,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0004_1284-1180-0027__T2__SCV2TTS__1284-1284-1180-0027__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0004_1284-1180-0027__T2__SCV2TTS__1284-1284-1180-0027__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0004_1284-1180-0027__T2__SCV2TTS__1284-1284-1180-0027__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0004_1284-1180-0027__T2__SCV2TTS__1284-1284-1180-0027__VOICE__1089.wav
tfmap,1089-134686-0004_6829-68771-0005__T1__SCV2TTS__1089-1089-134686-0004__VOICE__6829,1089,6829,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,4.431628583040289,weak_0_5,ambiguous_or_mild_local_error,0.2,0.0,0.0,0.1124594973789382,-0.1373120396468126,0.2,0.0,0.31404938922823356,13.40934210793306,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0004_6829-68771-0005__T1__SCV2TTS__1089-1089-134686-0004__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0004_6829-68771-0005__T1__SCV2TTS__1089-1089-134686-0004__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0004_6829-68771-0005__T1__SCV2TTS__1089-1089-134686-0004__VOICE__6829.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0004_6829-68771-0005__T1__SCV2TTS__1089-1089-134686-0004__VOICE__6829.wav
tfmap,1089-134686-0004_6829-68771-0005__T2__SCV2TTS__6829-6829-68771-0005__VOICE__1089,6829,1089,THE ONLY THING NECESSARY WAS TO FIX SETH REYNOLDS AND THIS HOPKINS ARRANGED PERSONALLY,6.501414038766799,normal_mid,ambiguous_or_mild_local_error,0.0,0.0,0.0,0.2595568007465331,0.0826592428841687,0.1111111111111111,0.0,0.2752914523781824,20.8361381354348,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0004_6829-68771-0005__T2__SCV2TTS__6829-6829-68771-0005__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0004_6829-68771-0005__T2__SCV2TTS__6829-6829-68771-0005__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0004_6829-68771-0005__T2__SCV2TTS__6829-6829-68771-0005__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0004_6829-68771-0005__T2__SCV2TTS__6829-6829-68771-0005__VOICE__1089.wav
tfmap,1089-134686-0004_8463-294828-0016__T1__SCV2TTS__1089-1089-134686-0004__VOICE__8463,1089,8463,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,2.8171694511315306,weak_0_5,ambiguous_or_mild_local_error,0.0,0.0,0.0,0.08990621007189825,0.037276922910925214,0.0,0.0,0.3767062759431014,13.024967028638216,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0004_8463-294828-0016__T1__SCV2TTS__1089-1089-134686-0004__VOICE__8463.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0004_8463-294828-0016__T1__SCV2TTS__1089-1089-134686-0004__VOICE__8463.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0004_8463-294828-0016__T1__SCV2TTS__1089-1089-134686-0004__VOICE__8463.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0004_8463-294828-0016__T1__SCV2TTS__1089-1089-134686-0004__VOICE__8463.wav
tfmap,1089-134686-0004_8463-294828-0016__T2__SCV2TTS__8463-8463-294828-0016__VOICE__1089,8463,1089,DID MASTER SUMMON ME HE SAID ENTERING,4.3294222180373,weak_0_5,ambiguous_or_mild_local_error,0.0,0.0,0.0,0.20391732933675022,0.1652047005037368,0.0,0.0,0.41017263142448,18.682793031569418,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0004_8463-294828-0016__T2__SCV2TTS__8463-8463-294828-0016__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0004_8463-294828-0016__T2__SCV2TTS__8463-8463-294828-0016__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0004_8463-294828-0016__T2__SCV2TTS__8463-8463-294828-0016__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0004_8463-294828-0016__T2__SCV2TTS__8463-8463-294828-0016__VOICE__1089.wav
tfmap,1089-134686-0005_7176-92135-0020__T1__SCV2TTS__1089-1089-134686-0005__VOICE__7176,1089,7176,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,-0.2614775762145221,absolute_failure_lt0,mixed_content_and_speaker_drift,0.6666666666666666,0.5333333333333333,0.5333333333333333,-0.03531041428060225,-0.22140510571270133,0.2,0.2857142857142857,0.14767018853545674,3.123602357165722,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0005_7176-92135-0020__T1__SCV2TTS__1089-1089-134686-0005__VOICE__7176.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0005_7176-92135-0020__T1__SCV2TTS__1089-1089-134686-0005__VOICE__7176.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0005_7176-92135-0020__T1__SCV2TTS__1089-1089-134686-0005__VOICE__7176.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0005_7176-92135-0020__T1__SCV2TTS__1089-1089-134686-0005__VOICE__7176.wav
tfmap,1089-134686-0005_7176-92135-0020__T2__SCV2TTS__7176-7176-92135-0020__VOICE__1089,7176,1089,DOUBLE NINE TWO THREE ELSINORE DOUBLE NINE YES HALLO IS THAT YOU HORATIO HAMLET SPEAKING,2.9910624722859436,weak_0_5,confirmed_content_drift,0.7777777777777778,0.1111111111111111,0.1111111111111111,-0.06545249490208194,-0.2675475258413758,0.1111111111111111,0.0,0.34413980278639666,11.495774909446016,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1089-134686-0005_7176-92135-0020__T2__SCV2TTS__7176-7176-92135-0020__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1089-134686-0005_7176-92135-0020__T2__SCV2TTS__7176-7176-92135-0020__VOICE__1089.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1089-134686-0005_7176-92135-0020__T2__SCV2TTS__7176-7176-92135-0020__VOICE__1089.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1089-134686-0005_7176-92135-0020__T2__SCV2TTS__7176-7176-92135-0020__VOICE__1089.wav
