cue,key,target_spk,interferer_spk,target_text,sisnr_i,relative_band,failure_cause,content_mismatch_rate,joint_content_waveform_rate,waveform_interferer_rate,mean_content_gap,min_content_gap,speaker_mismatch_rate_1s,speaker_mismatch_rate_2s,speaker_gap_mean_1s,local_sisdr_gap_mean_1s,est_path,target_ref,interferer_ref,synthetic_interferer
tfmap,1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320,672,1320,I AM BY NO MEANS OLD SAID THE FIR TREE,-17.58183070271245,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.24815123776997705,-0.24815123776997705,0.0,nan,0.3043720307421502,34.553958762988486,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1320-122617-0015_672-122797-0051__T2__SCV2TTS__672-672-122797-0051__VOICE__1320.wav
tfmap,4446-2273-0023_6829-68769-0002__T1__SCV2TTS__4446-4446-2273-0023__VOICE__6829,4446,6829,THE STRANGE WOMAN AND HER PASSIONATE SENTENCE THAT RANG OUT SO SHARPLY HAD FRIGHTENED THEM BOTH,-17.56415400377302,absolute_failure_lt0,confirmed_content_drift,0.8888888888888888,0.8888888888888888,1.0,-0.13964948178869482,-0.3284521037214853,0.1111111111111111,0.0,0.24016771972540418,23.047654060722145,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/4446-2273-0023_6829-68769-0002__T1__SCV2TTS__4446-4446-2273-0023__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/4446-2273-0023_6829-68769-0002__T1__SCV2TTS__4446-4446-2273-0023__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/4446-2273-0023_6829-68769-0002__T1__SCV2TTS__4446-4446-2273-0023__VOICE__6829.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/4446-2273-0023_6829-68769-0002__T1__SCV2TTS__4446-4446-2273-0023__VOICE__6829.wav
tfmap,6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829,4446,6829,WHEN SHE FINISHED ALEXANDER SHOOK HIMSELF OUT OF A REVERIE,-16.28283549543915,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.21357917310974664,-0.260385821641376,0.0,0.0,0.2803264581111842,25.620294364450295,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/6829-68771-0014_4446-2273-0027__T2__SCV2TTS__4446-4446-2273-0027__VOICE__6829.wav
tfmap,672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455,672,8455,IT IS A VERY STUPID STORY,-15.946709162941344,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.10289752277572872,-0.10289752277572872,0.0,nan,0.09956984022795592,21.168073943063302,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0060_8455-210777-0038__T1__SCV2TTS__672-672-122797-0060__VOICE__8455.wav
tfmap,1284-1181-0011_4446-2273-0036__T2__SCV2TTS__4446-4446-2273-0036__VOICE__1284,4446,1284,ALEXANDER UNCLENCHED THE TWO HANDS AT HIS SIDES,-15.09473708216398,absolute_failure_lt0,confirmed_content_drift,0.75,0.75,1.0,-0.09608841155595355,-0.18189126973501968,0.0,0.0,0.30557509366220315,25.462833447915237,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/1284-1181-0011_4446-2273-0036__T2__SCV2TTS__4446-4446-2273-0036__VOICE__1284.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/1284-1181-0011_4446-2273-0036__T2__SCV2TTS__4446-4446-2273-0036__VOICE__1284.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/1284-1181-0011_4446-2273-0036__T2__SCV2TTS__4446-4446-2273-0036__VOICE__1284.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/1284-1181-0011_4446-2273-0036__T2__SCV2TTS__4446-4446-2273-0036__VOICE__1284.wav
tfmap,672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61,672,61,IF IT ONLY WERE NOT SO DARK HERE AND SO TERRIBLY LONELY,-14.529908473571815,absolute_failure_lt0,confirmed_content_drift,0.6666666666666666,0.6666666666666666,1.0,-0.2717278336176319,-0.47869943615049865,0.0,0.0,0.5059480193395625,33.2019401494851,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/672-122797-0048_61-70968-0020__T1__SCV2TTS__672-672-122797-0048__VOICE__61.wav
tfmap,6829-68769-0051_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__6829,4446,6829,SHE CLOSED HER EYES AND TOOK A DEEP BREATH AS IF TO DRAW IN AGAIN THE FRAGRANCE OF THOSE DAYS,-14.522940472877954,absolute_failure_lt0,confirmed_content_drift,0.875,0.875,1.0,-0.24955768621629046,-0.39283571801441447,0.0,0.0,0.3263443663857689,19.55895555299528,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/6829-68769-0051_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/6829-68769-0051_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__6829.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/6829-68769-0051_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__6829.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/6829-68769-0051_4446-2275-0026__T2__SCV2TTS__4446-4446-2275-0026__VOICE__6829.wav
tfmap,8463-294828-0027_5683-32866-0030__T1__SCV2TTS__8463-8463-294828-0027__VOICE__5683,8463,5683,I LEFT INSTRUCTIONS FOR SHIPPING MY CONTAINERS OF STUFFED ANIMALS AND DRIED PLANTS TO PARIS FRANCE,-13.86705475681627,absolute_failure_lt0,mixed_content_and_speaker_drift,0.9,0.9,1.0,-0.15611799722098088,-0.3278940254436149,0.3,0.0,0.11405015931417588,13.647020445219354,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/8463-294828-0027_5683-32866-0030__T1__SCV2TTS__8463-8463-294828-0027__VOICE__5683.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/8463-294828-0027_5683-32866-0030__T1__SCV2TTS__8463-8463-294828-0027__VOICE__5683.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/8463-294828-0027_5683-32866-0030__T1__SCV2TTS__8463-8463-294828-0027__VOICE__5683.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/8463-294828-0027_5683-32866-0030__T1__SCV2TTS__8463-8463-294828-0027__VOICE__5683.wav
tfmap,7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176,672,7176,WHO IS HUMPY DUMPY ASKED THE MICE,-13.840309923473368,absolute_failure_lt0,confirmed_content_drift,1.0,1.0,1.0,-0.24871796044006775,-0.3516350914246346,0.0,0.0,0.31477945785984646,36.471977594392705,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/7176-88083-0013_672-122797-0058__T2__SCV2TTS__672-672-122797-0058__VOICE__7176.wav
tfmap,4446-2275-0000_8555-284447-0013__T1__SCV2TTS__4446-4446-2275-0000__VOICE__8555,4446,8555,THE STOP AT QUEENSTOWN THE TEDIOUS PASSAGE UP THE MERSEY WERE THINGS THAT HE NOTED DIMLY THROUGH HIS GROWING IMPATIENCE,-13.744494088924638,absolute_failure_lt0,confirmed_content_drift,0.8181818181818182,0.8181818181818182,1.0,-0.10275641921735378,-0.29023496049674685,0.0,0.0,0.29726054756198583,28.252705006857386,/data/tse_cue_project/experiments/normal_basic_single_cue_content_diagnostic/similar_content_v2_tts/tfmap/inference_full/est_wav/4446-2275-0000_8555-284447-0013__T1__SCV2TTS__4446-4446-2275-0000__VOICE__8555.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s1/4446-2275-0000_8555-284447-0013__T1__SCV2TTS__4446-4446-2275-0000__VOICE__8555.wav,/data/tse_cue_project/datasets/Libri2Mix_similar_content_v2_tts/clean/test/wav16k/min/test/s2/4446-2275-0000_8555-284447-0013__T1__SCV2TTS__4446-4446-2275-0000__VOICE__8555.wav,/data/tse_cue_project/manifests/librimix_similar_content_v2_tts/clean/test/synthetic_interferer/4446-2275-0000_8555-284447-0013__T1__SCV2TTS__4446-4446-2275-0000__VOICE__8555.wav
